              ntotal                 eff                  up                down               width                 rat
                  50                 0.5            0.623754            0.376246            0.247508             1.82017
                  50                0.51            0.623754            0.376246            0.247508              1.7872
                  50                0.52            0.642741            0.395412            0.247329             1.75438
                  50                0.53            0.642741            0.395412            0.247329             1.72399
                  50                0.54            0.661548            0.414757            0.246791              1.6914
                  50                0.55            0.661548            0.414757            0.246791             1.66336
                  50                0.56            0.680174            0.434282            0.245892             1.63096
                  50                0.57            0.680174            0.434282            0.245892             1.60506
                  50                0.58            0.698616            0.453989            0.244626             1.57278
                  50                0.59            0.698616            0.453989            0.244626             1.54883
                  50                 0.6            0.716869             0.47388            0.242989             1.51662
                  50                0.61            0.716869             0.47388            0.242989             1.49448
                  50                0.62            0.734931            0.493959            0.240972             1.46227
                  50                0.63            0.734931            0.493959            0.240972              1.4418
                  50                0.64            0.752794            0.514231            0.238563             1.40955
                  50                0.65            0.752794            0.514231            0.238563             1.39061
                  50                0.66            0.770452            0.534701            0.235751             1.35827
                  50                0.67            0.770452            0.534701            0.235751             1.34076
                  50                0.68            0.787896            0.555377            0.232519             1.30826
                  50                0.69            0.787896            0.555377            0.232519             1.29208
                  50                 0.7            0.805115            0.576267            0.228848             1.25937
                  50                0.71            0.805115            0.576267            0.228848             1.24444
                  50                0.72            0.822097            0.597383            0.224714             1.21145
                  50                0.73            0.822097            0.597383            0.224714             1.19769
                  50                0.74            0.838825            0.618736            0.220089             1.16435
                  50                0.75            0.838825            0.618736            0.220089             1.15171
                  50                0.76            0.855282            0.640344            0.214938             1.11794
                  50                0.77            0.855282            0.640344            0.214938             1.10634
                  50                0.78            0.871443            0.662226            0.209217             1.07206
                  50                0.79            0.871443            0.662226            0.209217             1.06146
                  50                 0.8            0.887278            0.684404            0.202874             1.02658
                  50                0.81            0.887278            0.684404            0.202874             1.01693
                  50                0.82            0.902752            0.706909            0.195842            0.981331
                  50                0.83            0.902752            0.706909            0.195842            0.972591
                  50                0.84            0.917815             0.72978            0.188035            0.936145
                  50                0.85            0.917815             0.72978            0.188035            0.928286
                  50                0.86            0.932403            0.753065            0.179339            0.890829
                  50                0.87            0.932403            0.753065            0.179339            0.883828
                  50                0.88            0.946429             0.77683            0.169599            0.845157
                  50                0.89            0.946429             0.77683            0.169599            0.838996
                  50                 0.9            0.959763            0.801167            0.158596             0.79885
                  50                0.91            0.959763            0.801167            0.158596            0.793522
                  50                0.92            0.972212            0.826209            0.146003            0.751544
                  50                0.93            0.972212            0.826209            0.146003            0.747051
                  50                0.94            0.983448            0.852163            0.131285             0.70273
                  50                0.95            0.983448            0.852163            0.131285            0.699088
                  50                0.96            0.992846            0.879386             0.11346            0.651617
                  50                0.97            0.992846            0.879386             0.11346            0.648863
                  50                0.98            0.998975            0.908602           0.0903728            0.596909
                  50                0.99            0.998975            0.908602           0.0903728            0.595116
                  50                   1                   1            0.941845           0.0581551            0.540625
                 100                 0.5            0.586378            0.413622            0.172757             1.79847
                 100                0.51            0.596135            0.423411            0.172724             1.76565
                 100                0.52            0.605859            0.433232            0.172627             1.73355
                 100                0.53            0.615551            0.443085            0.172466             1.70213
                 100                0.54            0.625211            0.452971             0.17224             1.67135
                 100                0.55            0.634838             0.46289            0.171948             1.64118
                 100                0.56            0.644432            0.472841            0.171591             1.61159
                 100                0.57            0.653993            0.482824            0.171168             1.58254
                 100                0.58             0.66352            0.492841            0.170679               1.554
                 100                0.59            0.673014            0.502892            0.170122             1.52596
                 100                 0.6            0.682474            0.512976            0.169498             1.49837
                 100                0.61            0.691899            0.523094            0.168805             1.47122
                 100                0.62             0.70129            0.533247            0.168043             1.44448
                 100                0.63            0.710645            0.543434            0.167211             1.41814
                 100                0.64            0.719963            0.553657            0.166306             1.39216
                 100                0.65            0.729246            0.563916            0.165329             1.36652
                 100                0.66             0.73849            0.574212            0.164278             1.34121
                 100                0.67            0.747697            0.584546            0.163151             1.31621
                 100                0.68            0.756864            0.594917            0.161946              1.2915
                 100                0.69            0.765991            0.605328            0.160663             1.26705
                 100                 0.7            0.775077            0.615779            0.159297             1.24285
                 100                0.71             0.78412            0.626272            0.157849             1.21888
                 100                0.72             0.79312            0.636806            0.156314             1.19513
                 100                0.73            0.802075            0.647385             0.15469             1.17158
                 100                0.74            0.810983            0.658008            0.152975              1.1482
                 100                0.75            0.819843            0.668678            0.151165             1.12498
                 100                0.76            0.828652            0.679397            0.149255             1.10191
                 100                0.77            0.837409            0.690166            0.147243             1.07897
                 100                0.78            0.846111            0.700988            0.145123             1.05613
                 100                0.79            0.854755            0.711865             0.14289             1.03338
                 100                 0.8            0.863339              0.7228            0.140539             1.01071
                 100                0.81            0.871858            0.733795            0.138063            0.988085
                 100                0.82            0.880309            0.744855            0.135454            0.965493
                 100                0.83            0.888688            0.755983            0.132705            0.942911
                 100                0.84            0.896989            0.767184            0.129805            0.920317
                 100                0.85            0.905206            0.778463            0.126743            0.897686
                 100                0.86            0.913332            0.789826            0.123506            0.874992
                 100                0.87             0.92136             0.80128             0.12008            0.852206
                 100                0.88            0.929278            0.812834            0.116444            0.829298
                 100                0.89            0.937075            0.824497            0.112578            0.806231
                 100                 0.9            0.944737            0.836282            0.108454            0.782966
                 100                0.91            0.952243            0.848205            0.104039            0.759457
                 100                0.92            0.959571            0.860283           0.0992882            0.735649
                 100                0.93            0.966688            0.872542           0.0941461            0.711477
                 100                0.94             0.97355            0.885015           0.0885355            0.686861
                 100                0.95            0.980094            0.897747           0.0823478            0.661698
                 100                0.96            0.986223            0.910804           0.0754196            0.635846
                 100                0.97            0.991774            0.924289            0.067485            0.609103
                 100                0.98            0.996435            0.938381            0.058054            0.581146
                 100                0.99            0.999487             0.95344            0.046047            0.551439
                 100                   1                   1            0.970487            0.029513            0.521321
                 150                 0.5            0.570023            0.429977            0.140047             1.78661
                 150                0.51            0.576584            0.436549            0.140035             1.75421
                 150                0.52             0.58967            0.449729            0.139941             1.72218
                 150                0.53            0.596195            0.456337            0.139858             1.69154
                 150                0.54             0.60921            0.469588            0.139622             1.66042
                 150                0.55              0.6157            0.476232            0.139468             1.63136
                 150                0.56            0.628643            0.489554            0.139089             1.60105
                 150                0.57            0.635097            0.496234            0.138863             1.57342
                 150                0.58            0.647968            0.509628            0.138339             1.54382
                 150                0.59            0.654385            0.516344            0.138041             1.51749
                 150                 0.6            0.667181            0.529812            0.137369             1.48851
                 150                0.61            0.673561            0.536565            0.136996             1.46336
                 150                0.62            0.686282            0.550109            0.136173             1.43491
                 150                0.63            0.692623              0.5569            0.135723             1.41083
                 150                0.64            0.705266             0.57052            0.134746             1.38285
                 150                0.65            0.711567            0.577351            0.134217             1.35974
                 150                0.66            0.724129            0.591051            0.133078             1.33214
                 150                0.67             0.73039            0.597922            0.132468             1.30992
                 150                0.68            0.742867            0.611706            0.131162             1.28264
                 150                0.69            0.749085            0.618619            0.130465             1.26122
                 150                 0.7            0.761474             0.63249            0.128984             1.23419
                 150                0.71            0.767646            0.639448            0.128198              1.2135
                 150                0.72            0.779942             0.65341            0.126531             1.18665
                 150                0.73            0.786065            0.660415             0.12565             1.16661
                 150                0.74            0.798261            0.674475            0.123786             1.13988
                 150                0.75            0.804333            0.681531            0.122803             1.12043
                 150                0.76            0.816422            0.695695            0.120727             1.09374
                 150                0.77            0.822439            0.702805            0.119634             1.07481
                 150                0.78            0.834411            0.717083            0.117329             1.04809
                 150                0.79            0.840367            0.724252            0.116115             1.02963
                 150                 0.8            0.852212            0.738653            0.113559              1.0028
                 150                0.81              0.8581            0.745887            0.112212            0.984726
                 150                0.82            0.869802            0.760426            0.109375            0.957695
                 150                0.83            0.875614            0.767733            0.107881            0.939959
                 150                0.84            0.887154            0.782427            0.104727            0.912629
                 150                0.85            0.892879            0.789817            0.103062            0.895157
                 150                0.86            0.904232             0.80469           0.0995424            0.867411
                 150                0.87            0.909856            0.812176           0.0976798            0.850129
                 150                0.88            0.920986            0.827259           0.0937272            0.821827
                 150                0.89            0.926487             0.83486           0.0916266            0.804649
                 150                 0.9            0.937343            0.850198           0.0871444            0.775616
                 150                0.91            0.942689            0.857943           0.0847466            0.758441
                 150                0.92            0.953192            0.873605           0.0795865            0.728444
                 150                0.93            0.958333            0.881536           0.0767972            0.711137
                 150                0.94            0.968345            0.897636           0.0707094            0.679848
                 150                0.95            0.973188            0.905829           0.0673598            0.662218
                 150                0.96            0.982439            0.922582            0.059857            0.629116
                 150                0.97            0.986776            0.931195           0.0555808            0.610837
                 150                0.98            0.994527            0.949123           0.0454041            0.574887
                 150                0.99            0.997626            0.958625           0.0390008            0.555156
                 150                   1                   1            0.980227           0.0197734            0.514453
                 200                 0.5            0.560359            0.439641            0.120718             1.77892
                 200                0.51            0.570236            0.449541            0.120695             1.74652
                 200                0.52            0.580089            0.459463            0.120626             1.71481
                 200                0.53            0.589919            0.469409             0.12051             1.68376
                 200                0.54            0.599727            0.479378            0.120349             1.65333
                 200                0.55             0.60951             0.48937            0.120141              1.6235
                 200                0.56            0.619271            0.499385            0.119886             1.59422
                 200                0.57            0.629008            0.509424            0.119584             1.56548
                 200                0.58            0.638721            0.519487            0.119234             1.53723
                 200                0.59             0.64841            0.529573            0.118837             1.50946
                 200                 0.6            0.658075            0.539684            0.118391             1.48214
                 200                0.61            0.667715            0.549819            0.117896             1.45524
                 200                0.62            0.677331            0.559979            0.117352             1.42874
                 200                0.63            0.686921            0.570163            0.116757             1.40262
