               npass                  up                down               width
                   0                   0          0.00199516          0.00199516
                  20          0.00885344           0.0193161           0.0104627
                  40           0.0201901           0.0345727           0.0143826
                  60           0.0320216           0.0493537            0.017332
                  80           0.0441141             0.06388           0.0197659
                 100           0.0563766           0.0782392           0.0218626
                 120           0.0687625           0.0924768           0.0237143
                 140           0.0812438             0.10662           0.0253762
                 160           0.0938023            0.120687           0.0268843
                 180            0.106425            0.134689            0.028264
                 200            0.119104            0.148637           0.0295336
                 220             0.13183            0.162537           0.0307071
                 240            0.144599            0.176395           0.0317953
                 260            0.157407            0.190214           0.0328069
                 280             0.17025            0.203999            0.033749
                 300            0.183124            0.217751           0.0346273
                 320            0.196028            0.231475           0.0354467
                 340            0.208959            0.245171           0.0362112
                 360            0.221917            0.258841           0.0369244
                 380            0.234898            0.272487           0.0375891
                 400            0.247902             0.28611            0.038208
                 420            0.260928            0.299712           0.0387833
                 440            0.273975            0.313292           0.0393169
                 460            0.287043            0.326853           0.0398105
                 480            0.300129            0.340395           0.0402657
                 500            0.313234            0.353917           0.0406838
                 520            0.326357            0.367422           0.0410658
                 540            0.339497             0.38091           0.0414129
                 560            0.352654             0.39438           0.0417259
                 580            0.365829            0.407834           0.0420055
                 600            0.379019            0.421271           0.0422525
                 620            0.392225            0.434693           0.0424674
                 640            0.405448            0.448099           0.0426508
                 660            0.418686            0.461489           0.0428029
                 680            0.431939            0.474863           0.0429243
                 700            0.445208            0.488223           0.0430151
                 720            0.458491            0.501567           0.0430755
                 740             0.47179            0.514896           0.0431057
                 760            0.485104             0.52821           0.0431057
                 780            0.498433            0.541509           0.0430755
                 800            0.511777            0.554792           0.0430151
                 820            0.525137            0.568061           0.0429243
                 840            0.538511            0.581314           0.0428029
                 860            0.551901            0.594552           0.0426508
                 880            0.565307            0.607775           0.0424674
                 900            0.578729            0.620981           0.0422525
                 920            0.592166            0.634171           0.0420055
                 940             0.60562            0.647346           0.0417259
                 960             0.61909            0.660503           0.0414129
                 980            0.632578            0.673643           0.0410658
                1000            0.646083            0.686766           0.0406838
                1020            0.659605            0.699871           0.0402657
                1040            0.673147            0.712957           0.0398105
                1060            0.686708            0.726025           0.0393169
                1080            0.700288            0.739072           0.0387833
                1100             0.71389            0.752098            0.038208
                1120            0.727513            0.765102           0.0375891
                1140            0.741159            0.778083           0.0369244
                1160            0.754829            0.791041           0.0362112
                1180            0.768525            0.803972           0.0354467
                1200            0.782249            0.816876           0.0346273
                1220            0.796001             0.82975            0.033749
                1240            0.809786            0.842593           0.0328069
                1260            0.823605            0.855401           0.0317953
                1280            0.837463             0.86817           0.0307071
                1300            0.851363            0.880896           0.0295336
                1320            0.865311            0.893575            0.028264
                1340            0.879313            0.906198           0.0268843
                1360             0.89338            0.918756           0.0253762
                1380            0.907523            0.931238           0.0237143
                1400            0.921761            0.943623           0.0218626
                1420             0.93612            0.955886           0.0197659
                1440            0.950646            0.967978            0.017332
                1460            0.965427             0.97981           0.0143826
                1480            0.980684            0.991147           0.0104627
                1500            0.998005                   1          0.00199516

