              ntotal          eff_thresh
                  50                0.82
                 100                0.81
                 150                0.81
                 200                 0.8
                 250                 0.8
                 300                 0.8
                 350                 0.8
                 400                 0.8
                 450                 0.8
                 500                 0.8
                 550                 0.8
                 600                 0.8
                 650                 0.8
                 700                 0.8
                 750                 0.8
                 800                 0.8
                 850                 0.8
                 900                 0.8
                 950                 0.8
                1000                 0.8
                1050                 0.8
                1100                 0.8
                1150                 0.8
                1200                0.79
                1250                 0.8
                1300                0.79
                1350                0.79
                1400                0.79
                1450                0.79
                1500                0.79
                1550                0.79
                1600                0.79
                1650                0.79
                1700                0.79
                1750                0.79
                1800                0.79
                1850                0.79
                1900                0.79
                1950                0.79
                2000                0.79
                2050                0.79
