              ntotal                  up                down               width
                1000            0.937137            0.960836           0.0236999
                1020            0.937279            0.960735           0.0234561
                1040            0.937417            0.960636           0.0232196
                1060             0.93755             0.96054             0.02299
                1080             0.93768            0.960447            0.022767
                1100            0.937806            0.960356           0.0225503
                1120            0.937928            0.960267           0.0223396
                1140            0.938046            0.960181           0.0221346
                1160            0.938162            0.960097            0.021935
                1180            0.938274            0.960015           0.0217407
                1200            0.938383            0.959935           0.0215514
                1220             0.93849            0.959857           0.0213669
                1240            0.938593             0.95978            0.021187
                1260            0.938694            0.959706           0.0210115
                1280            0.938793            0.959633           0.0208403
                1300            0.938889            0.959562           0.0206731
                1320            0.938982            0.959492           0.0205098
                1340            0.939074            0.959424           0.0203503
                1360            0.939163            0.959357           0.0201943
                1380             0.93925            0.959292           0.0200419
                1400            0.939335            0.959228           0.0198929
                1420            0.939418            0.959165            0.019747
                1440              0.9395            0.959104           0.0196043
                1460            0.939579            0.959044           0.0194647
                1480            0.939657            0.958985           0.0193279
                1500            0.939734            0.958927           0.0191939
                1520            0.939808            0.958871           0.0190627
                1540            0.939881            0.958815            0.018934
                1560            0.939953            0.958761           0.0188079
                1580            0.940023            0.958707           0.0186843
                1600            0.940092            0.958655            0.018563
                1620            0.940159            0.958603           0.0184441
                1640            0.940225            0.958552           0.0183274
                1660             0.94029            0.958503           0.0182128
                1680            0.940353            0.958454           0.0181004
                1700            0.940416            0.958406           0.0179899
                1720            0.940477            0.958358           0.0178815
                1740            0.940537            0.958312            0.017775
                1760            0.940596            0.958266           0.0176703
                1780            0.940654            0.958221           0.0175674
                1800            0.940711            0.958177           0.0174663
                1820            0.940767            0.958134           0.0173669
                1840            0.940822            0.958091           0.0172692
                1860            0.940876            0.958049           0.0171731
                1880            0.940929            0.958007           0.0170785
                1900            0.940981            0.957967           0.0169855
                1920            0.941032            0.957926           0.0168939
                1940            0.941083            0.957887           0.0168039
                1960            0.941133            0.957848           0.0167152
                1980            0.941182            0.957809           0.0166279
                2000             0.94123            0.957772           0.0165419
