         z                  bx                  by
     -3000            0.000638            -1.8e-05
     -2990            0.000638            -1.8e-05
     -2980            0.000638            -1.8e-05
     -2970            0.000638            -1.8e-05
     -2960            0.000638            -1.8e-05
     -2950            0.000638            -1.8e-05
     -2940            0.000638            -1.8e-05
     -2930            0.000638            -1.8e-05
     -2920            0.000638            -1.8e-05
     -2910            0.000638            -1.8e-05
     -2900            0.000638            -1.8e-05
     -2890            0.000638            -1.8e-05
     -2880            0.000638            -1.8e-05
     -2870            0.000638            -1.8e-05
     -2860            0.000638            -1.8e-05
     -2850            0.000638            -1.8e-05
     -2840            0.000638            -1.8e-05
     -2830            0.000638            -1.8e-05
     -2820            0.000638            -1.8e-05
     -2810            0.000638            -1.8e-05
     -2800            0.000638            -1.8e-05
     -2790            0.000638            -1.8e-05
     -2780            0.000638            -1.8e-05
     -2770            0.000638            -1.8e-05
     -2760            0.000638            -1.8e-05
     -2750            0.000638            -1.8e-05
     -2740            0.000638            -1.8e-05
     -2730            0.000638            -1.8e-05
     -2720            0.000638            -1.8e-05
     -2710            0.000638            -1.8e-05
     -2700            0.000638            -1.8e-05
     -2690            0.000638            -1.8e-05
     -2680            0.000638            -1.8e-05
     -2670            0.000638            -1.8e-05
     -2660            0.000638            -1.8e-05
     -2650            0.000638            -1.8e-05
     -2640            0.000638            -1.8e-05
     -2630            0.000638            -1.8e-05
     -2620            0.000638            -1.8e-05
     -2610            0.000638            -1.8e-05
     -2600            0.000638            -1.8e-05
     -2590            0.000638            -1.8e-05
     -2580            0.000638            -1.8e-05
     -2570            0.000638            -1.8e-05
     -2560            0.000638            -1.8e-05
     -2550            0.000638            -1.8e-05
     -2540            0.000638            -1.8e-05
     -2530            0.000638            -1.8e-05
     -2520            0.000638            -1.8e-05
     -2510            0.000638            -1.8e-05
     -2500            0.000638            -1.8e-05
     -2490            0.000638            -1.8e-05
     -2480            0.000638            -1.8e-05
     -2470            0.000638            -1.8e-05
     -2460            0.000638            -1.8e-05
     -2450            0.000638            -1.8e-05
     -2440            0.000638            -1.8e-05
     -2430            0.000638            -1.8e-05
     -2420            0.000638            -1.8e-05
     -2410            0.000638            -1.8e-05
     -2400            0.000638            -1.8e-05
     -2390            0.000638            -1.8e-05
     -2380            0.000638            -1.8e-05
     -2370            0.000638            -1.8e-05
     -2360            0.000638            -1.8e-05
     -2350            0.000638            -1.8e-05
     -2340            0.000638            -1.8e-05
     -2330            0.000638            -1.8e-05
     -2320            0.000638            -1.8e-05
     -2310            0.000638            -1.8e-05
     -2300            0.000638            -1.8e-05
     -2290            0.000638            -1.8e-05
     -2280            0.000638            -1.8e-05
     -2270            0.000638            -1.8e-05
     -2260            0.000638            -1.8e-05
     -2250            0.000638            -1.8e-05
     -2240            0.000638            -1.8e-05
     -2230            0.000638            -1.8e-05
     -2220            0.000638            -1.8e-05
     -2210            0.000638            -1.8e-05
     -2200            0.000638            -1.8e-05
     -2190            0.000638            -1.8e-05
     -2180            0.000638            -1.8e-05
     -2170            0.000638            -1.8e-05
     -2160            0.000638            -1.8e-05
     -2150            0.000638            -1.8e-05
     -2140            0.000638            -1.8e-05
     -2130            0.000638            -1.8e-05
     -2120            0.000638            -1.8e-05
     -2110            0.000638            -1.8e-05
     -2100            0.000638            -1.8e-05
     -2090            0.000638            -1.8e-05
     -2080            0.000638            -1.8e-05
     -2070            0.000638            -1.8e-05
     -2060            0.000638            -1.8e-05
     -2050            0.000638            -1.8e-05
     -2040            0.000638            -1.8e-05
     -2030            0.000638            -1.8e-05
     -2020            0.000638            -1.8e-05
     -2010            0.000638            -1.8e-05
     -2000            0.000638            -1.8e-05
     -1990            0.000638            -1.8e-05
     -1980            0.000638            -1.8e-05
     -1970            0.000638            -1.8e-05
     -1960            0.000638            -1.8e-05
     -1950            0.000638            -1.8e-05
     -1940            0.000638            -1.8e-05
