scan  neg_lower_cda
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
             25            327        31.2426        10.4665        1.95994         9.3587        1.79809        1.25808
             26            337        33.1785        10.1572        1.84814        9.46737        1.75221       0.901433
             27            347        36.1097        9.60961        1.68031        8.31186        1.50897        2.11776
             28            359        37.0792        9.68197         1.6701        8.54749        1.52209        1.85456
             29            372         38.051        9.77635        1.66395         8.2877        1.47286        2.56807
             30            378        39.0191        9.68756        1.62895        8.37555        1.46122        2.24178
             31            384         39.998        9.60048        1.59511        8.56114         1.4669        1.95797
             32            401         39.998        10.0255        1.66239        9.06783        1.54515         1.7596
             33            406         39.998        10.1505        1.68218         9.1675        1.56195        1.79201
             34            417        42.9266        9.71427        1.55712        8.48904        1.41093        2.46227
             35            426        43.9004        9.70378        1.53817        8.59043        1.40612         2.2319
             36            429        45.8556        9.35545        1.45352        8.52212        1.35799        1.85195
             37            440        45.8556        9.59534        1.48899        8.73847        1.39079         1.8607
             38            452        46.8286        9.65222        1.48176        8.98532        1.40772        1.55291
             39            459        48.7844        9.40874        1.41685        8.92909        1.36493        1.19683
             40            466        51.7057        9.01254        1.32107        8.36991         1.2529        1.74595
