scan  neg_lower_m2m
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
              5            547        49.7031        11.0054        1.63041        10.4512        1.56753        0.99697
              6            475        44.8365        10.5941        1.65513        9.86163        1.56719        1.22491
              7            406        40.9475        9.91514        1.62574         8.4858        1.44805        2.55906
              8            360        31.1845        11.5442        2.15493        10.6808        2.03234       0.978865
              9            331        29.2264        11.3254        2.18544        10.2868        2.03277        1.12854
             10            297        25.3081        11.7354         2.4301        10.6713        2.26257       0.978772
             11            263        20.4311        12.8725         2.9564        12.0039        2.80629       0.610075
             12            233        18.4796        12.6085        3.04713        11.3863        2.82492       0.806512
             13            202        16.5428        12.2107        3.12269        9.84162        2.67072        1.58374
             14            187        14.5833        12.8229        3.48629        10.4119          3.004        1.41634
             15            166        11.6645        14.2312        4.31079        13.0099        4.03871       0.490095
             16            143        8.73279        16.3751        5.70793        12.3337        4.56185       0.830337
             17            121        7.76172        15.5893         5.7723        11.9044        4.62384        0.57653
             18            101        6.79894        14.8553        5.88581        11.5551          4.651      0.0923201
             19             91        6.79894        13.3844         5.3214        11.5551          4.651      0.0923201
             20             81        6.79894        11.9136        4.75692        11.5551          4.651      0.0923201
