scan  neg_lower_zt
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
           -500            244        20.5097        11.8968        2.73512        8.77309         2.1575        2.08993
           -400            279        22.4568        12.4238        2.72516        10.1573        2.33924        1.74637
           -300            316        25.3868        12.4474        2.56777        11.4403        2.41626        1.00971
           -200            351         27.332        12.8421        2.55025        10.7631        2.24281        2.16219
           -100            374        31.2361        11.9733           2.23         9.7594        1.92061        2.76956
              0            426        43.9004        9.70378        1.53817        8.59043        1.40612         2.2319
            100            471        52.7158        8.93471        1.29762        7.05311        1.08922        4.84034
            200            524        61.4882        8.52195        1.14878        7.02636       0.997232        4.77867
            300            608        89.7858        6.77167       0.765599        5.53915         0.6602        6.68324
            400            735        114.158        6.43847        0.64771        5.58195       0.584828        6.73807
            500            980        180.621        5.42571       0.439343        4.99715       0.413732        5.54462
            600           1690        474.789        3.55948       0.184884          3.491       0.182424         3.6747
            700           4708        1623.67         2.8996      0.0834506        2.87331      0.0829456        6.05149
            800          16042         5866.4        2.73455      0.0417231        2.71959       0.041572        13.1559
            900          47387        17461.5         2.7138      0.0240247        2.69646      0.0239236        46.3835
           1000         111641        39797.1        2.80526      0.0163777        2.77759      0.0162707         162.96
