scan  neg_upper_cda
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
             25            331         80.038        4.13554       0.515123        3.39339       0.450009        6.41845
             26            344        84.9388        4.04998       0.490702        3.32148       0.428237        6.66848
             27            356        86.8921        4.09704       0.490234        3.40075       0.431597        6.54991
             28            374        89.8114        4.16428       0.489338        3.58251       0.441715         5.6705
             29            384        91.7542         4.1851       0.486316        3.64243       0.442649        5.45281
             30            400        93.7156        4.26823       0.489836        3.72286       0.446145        5.38139
             31            416        95.6395        4.34967       0.493257        3.78266        0.44821        5.58542
             32            434         97.583        4.44749       0.498275        3.82604        0.44978        6.31051
             33            444        101.482        4.37516       0.481391        3.79648       0.436849        6.06149
             34            456        106.342        4.28804       0.461768         3.6892       0.416671        6.69996
             35            472        108.285        4.35887       0.464451        3.77046       0.420635        6.62652
             36            486        111.191        4.37085       0.459482        3.72751       0.411962        7.35814
             37            497        114.092        4.35614        0.45222        3.67026       0.402217        8.13768
             38            509        116.023        4.38708       0.451329        3.62412       0.396011        9.16219
             39            523        117.976         4.4331       0.451835        3.67746       0.397494        9.10906
             40            536        119.933        4.46916       0.451444        3.76519       0.401413        8.58496
