scan  neg_upper_zt
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
            -20            145        12.6706        11.4439        3.35248        7.95238        2.47614        1.05917
            -15            219        30.2266        7.24527        1.40584        5.52759        1.14922        2.90676
            -10            304        61.4802        4.94468       0.691458        4.62108       0.660458        1.93146
             -5            387        84.8236        4.56241       0.546978        4.16821       0.514269        3.37028
              0            472        108.285        4.35887       0.464451        3.77046       0.420635        6.62652
              5            656        156.151        4.20106        0.37407        4.09087       0.367303        1.78301
             10           1325        482.871          2.744       0.145863        2.74093       0.145756       0.229621
             15           2905        1269.61        2.28811        0.07698        2.28107      0.0768253        1.53254
             20           4844        2273.29        2.13084      0.0541724        2.12645      0.0541013        1.89899
             25           6631        3168.43        2.09283      0.0451984        2.09141      0.0451789       0.862664
             30           8056        3881.64        2.07541      0.0405505        2.07302      0.0405207        1.80169
