scan  pos_lower_cda
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
             25            263         51.645        5.09245       0.775078        4.82444       0.746312        1.19522
             26            276        53.6017        5.14909       0.768566        4.88357       0.740305        1.17444
             27            289        56.5224        5.11302       0.743629        4.85321       0.716469        1.18378
             28            295        58.4751        5.04488       0.722161        4.82257       0.699576        1.09992
             29            302        60.4279        4.99769       0.704301        4.85805       0.690339       0.711865
             30            310        61.4102        5.04802       0.705094        4.83385       0.683753        1.09178
             31            322        64.3402        5.00465       0.683423        4.89595       0.673062       0.619539
             32            335        65.3144        5.12904        0.69376        4.98884       0.680553       0.805743
             33            345         66.301        5.20354       0.697765        5.04938         0.6832       0.859467
             34            353        67.2788        5.24682       0.697973        5.12221       0.686388       0.716813
             35            362        67.2788        5.38059       0.714343        5.26078       0.703223       0.676095
             36            366        68.2491        5.36271       0.707074        5.26863       0.698412       0.540027
             37            374         70.206        5.32718       0.692894        5.18761       0.680167        0.82205
             38            386        71.1788        5.42296       0.699537        5.27318       0.685945       0.874584
             39            395        71.1788         5.5494       0.714576        5.39991       0.700986       0.848482
             40            404        73.1344        5.52408       0.701986         5.3577       0.686996        0.96217
