scan  pos_lower_m2m
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
              5            481        78.0136        6.16559       0.752538        5.75268       0.714348        1.88875
              6            397         68.256        5.81634       0.762132        5.44923       0.724504         1.3043
              7            332        62.3844        5.32184       0.734369        4.84901        0.68346        1.66756
              8            282        55.5711        5.07458        0.74479        4.09811       0.638356        4.30068
              9            251         45.849         5.4745       0.879246        4.44761       0.757697        3.64605
             10            235        40.0192        5.87218        1.00418        5.27013       0.922698        1.20604
             11            206        34.1717        6.02838        1.11351        5.33057        1.01153        1.19099
             12            187        29.3023        6.38176        1.26794        5.68606        1.15727       0.915721
             13            162        25.3851         6.3817        1.36225         5.4436        1.20444        1.20584
             14            140        20.4762        6.83721        1.61769        5.83515        1.42911       0.947666
             15            122        16.5529        7.37029        1.93052        6.40208         1.7236       0.601491
             16            104         13.636        7.62686        2.19662        6.41238         1.9122       0.636981
             17             91        9.71492        9.36704        3.16161        6.31282        2.32541        1.17786
             18             81        9.71492        8.33769        2.83089        6.29446        2.26992       0.803861
             19             71        9.71492        7.30835        2.50004        5.71251        2.04456       0.541916
             20             61        7.76516         7.8556        2.99312        5.91682        2.37561       0.513388
