scan  pos_lower_zt
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
           -500            163        25.3544        6.42887        1.37247        5.09636        1.14722        1.74736
           -400            189        35.1252        5.38075       0.988662        4.64705       0.882282        1.41319
           -300            227        40.9509        5.54322        0.94112        4.85192       0.849748        1.62929
           -200            260        49.7862        5.22233       0.807893        4.96376       0.778316       0.918762
           -100            305         58.514        5.21243        0.74391        5.11376       0.733973       0.479292
              0            362        67.2788        5.38059       0.714343        5.26078       0.703223       0.676095
            100            425        80.9696        5.24888       0.636463        5.18112       0.630722       0.466085
            200            498        100.458        4.95728       0.542191        4.85845       0.534669       0.892427
            300            624        131.635        4.74037       0.454664         4.6904       0.451327       0.605527
            400            844        171.722        4.91493       0.411453        4.86936       0.408801       0.705085
            500           1225        292.762        4.18428       0.272206        4.15174       0.270741       0.969588
            600           2497        655.378        3.81001       0.167221        3.73074       0.164839        5.84257
            700           7462        2071.81        3.60169       0.089441        3.55639      0.0886768        11.1263
            800          26040        7090.89        3.67232      0.0491911         3.6334      0.0488381        32.6682
            900          78074        20411.3        3.82504        0.03007        3.78689      0.0298671        90.0327
           1000         186425          46657        3.99564      0.0206838        3.93153      0.0204565        325.239
