scan  pos_upper_cda
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
             25            293        86.7819        3.37628       0.412627        3.13133       0.392046        2.61418
             26            301         88.736        3.39208        0.40975        3.12715       0.387841        2.93504
             27            315        91.6537        3.43685        0.40789        3.21802       0.390283         2.5411
             28            326        92.6234        3.51963       0.414419        3.32364       0.398764        2.25207
             29            334        94.5672        3.53188       0.411407        3.34756       0.396718        2.09518
             30            344          96.53        3.56366       0.410463        3.36338       0.394769         2.3596
             31            356        100.437         3.5445       0.400472        3.24934       0.377847        3.72418
             32            369        102.379        3.60426       0.402608        3.35896       0.384025        3.09757
             33            378        106.302        3.55592       0.390385        3.30785       0.371919        3.28457
             34            380        111.182        3.41781       0.368519        3.26389        0.35736        2.20656
             35            390        113.119         3.4477       0.368184        3.28725       0.356591        2.28579
             36            401        114.095        3.51462       0.372921        3.38039       0.363293        1.90214
             37            411        121.925        3.37092       0.347627        3.27852        0.34122         1.4487
             38            419        126.823        3.30382       0.334839         3.2024        0.32788        1.64021
             39            432        129.754        3.32937       0.333298        3.23833        0.32713        1.49943
             40            448        135.671         3.3021       0.323587        3.19488       0.316469        1.85416
