scan  pos_upper_zt
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
            -20             90        14.6504        6.14319        1.73069        3.72769        1.18544        2.10936
            -15            140        33.1722         4.2204        0.81497        3.18478       0.663499        2.89808
            -10            202        62.3846        3.23798       0.469005         2.9048       0.435261        2.51379
             -5            302         84.793        3.56162       0.437727        3.16978       0.404014        3.81822
              0            390        113.119         3.4477       0.368184        3.28725       0.356591        2.28579
              5            586         183.42        3.19485       0.270308        2.90403       0.253708        7.28618
             10           1618        565.427        2.86155       0.139796        2.82741       0.138695        2.86317
             15           4264        1537.42        2.77347      0.0825061        2.74743      0.0820058        6.43571
             20           7388        2670.68        2.76634      0.0624599         2.7595      0.0623595        2.86941
             25           9901        3627.13        2.72971      0.0529803        2.72172      0.0528789        4.50706
             30          11782        4358.74        2.70307      0.0479214        2.69604      0.0478398        4.78793
