scan  neg_lower_cda
          shift             dt             hl          scale            err
             25            252        21.4345        11.7567        2.64518
             26            261        23.3704         11.168        2.41136
             27            270        23.3704        11.5531        2.49109
             28            280          24.34        11.5037        2.43096
             29            294          24.34        12.0789        2.54764
             30            297        25.3081        11.7354         2.4301
             31            302         26.287        11.4886        2.33625
             32            313         26.287         11.907        2.41794
             33            317        27.2267         11.643        2.32519
             34            324        28.2053        11.4872        2.25514
             35            330        29.1792        11.3094        2.18425
             36            336        31.1344        10.7919        2.02172
             37            344        32.0996        10.7166         1.9778
             38            353        33.0726        10.6735        1.94097
             39            359        35.0284        10.2488        1.81418
             40            363        35.9901        10.0861        1.76262
