scan  neg_lower_m2m
          shift             dt             hl          scale            err
              5            547        49.7031        11.0054        1.63041
              6            475        44.8365        10.5941        1.65513
              7            406        40.9475        9.91514        1.62574
              8            360        31.1845        11.5442        2.15493
              9            331        29.2264        11.3254        2.18544
             10            297        25.3081        11.7354         2.4301
             11            263        20.4311        12.8725         2.9564
             12            233        18.4796        12.6085        3.04713
             13            202        16.5428        12.2107        3.12269
             14            187        14.5833        12.8229        3.48629
             15            166        11.6645        14.2312        4.31079
             16            143        8.73279        16.3751        5.70793
             17            121        7.76172        15.5893         5.7723
             18            101        6.79894        14.8553        5.88581
             19             91        6.79894        13.3844         5.3214
             20             81        6.79894        11.9136        4.75692
