scan  neg_lower_zt
          shift             dt             hl          scale            err
           -500            178        10.7059        16.6263          5.232
           -400            203         12.653        16.0436        4.64873
           -300            237        15.5829        15.2089        3.97742
           -200            263        15.5829        16.8774        4.40028
           -100            281        18.4849        15.2016        3.65019
              0            330        29.1792        11.3094        2.18425
            100            368        32.1223        11.4562         2.1077
            200            411        38.9398        10.5548        1.76973
            300            479        57.4481        8.33795        1.16417
            400            571        73.9783        7.71848       0.953749
            500            741        119.902        6.18003       0.608337
            600           1253        332.798        3.76504       0.232182
            700           3794        1262.39        3.00542       0.097652
            800          14500        5051.52        2.87042      0.0468966
            900          44599        15348.8        2.90569      0.0271917
           1000         104164        34488.8        3.02023      0.0187632
