scan  neg_upper_cda
          shift             dt             hl          scale            err
             25            235        71.1238         3.3041       0.447157
             26            246        76.0246        3.23579       0.424601
             27            255        76.9972        3.31181        0.43065
             28            269        77.9744        3.44985       0.443707
             29            278        78.9525        3.52111       0.449034
             30            290        81.8943        3.54115       0.443127
             31            304        83.8182         3.6269       0.447449
             32            318        84.7903        3.75043       0.458388
             33            328        87.7198        3.73918        0.44946
             34            333        90.6412        3.67383       0.435244
             35            343        91.6117        3.74406       0.440323
             36            352         94.518        3.72416       0.431438
             37            363        97.4266        3.72588       0.425126
             38            373        100.331         3.7177       0.418105
             39            381        101.307        3.76085       0.420403
             40            389        103.253        3.76743       0.417073
