scan  neg_upper_zt
          shift             dt             hl          scale            err
            -20             92         5.8508        15.7243        6.70429
            -15            153        19.5016         7.8455        1.88641
            -10            222        50.6835        4.38012       0.681877
             -5            278        70.1129        3.96503        0.52989
              0            343        91.6117        3.74406       0.440323
              5            471        123.816        3.80402        0.38418
             10            898        324.695        2.76567       0.179095
             15           1851        804.326        2.30131      0.0971883
             20           3022        1397.82        2.16193      0.0699313
             25           4103        1924.39         2.1321      0.0589082
             30           4940        2341.99        2.10932      0.0529189
