scan  pos_lower_cda
          shift             dt             hl          scale            err
             25            201        33.1839        6.05715        1.13497
             26            208        34.1638        6.08831        1.12392
             27            220        37.0845         5.9324        1.05308
             28            224        38.0664        5.88446        1.03161
             29            228        40.0192        5.69727       0.976446
             30            235        40.0192        5.87218        1.00418
             31            245        42.9491        5.70442       0.943646
             32            255        42.9491        5.93725       0.979286
             33            262        43.9357        5.96325       0.972162
             34            269        44.9135        5.98928       0.965417
             35            277        44.9135         6.1674       0.992073
             36            280        45.8838        6.10237       0.971899
             37            288        46.8644        6.14539        0.96798
             38            298        47.8372        6.22946       0.970276
             39            306        47.8372         6.3967       0.994521
             40            312        48.8197        6.39086       0.983625
