scan  pos_lower_m2m
          shift             dt             hl          scale            err
              5            481        78.0136        6.16559       0.752538
              6            397         68.256        5.81634       0.762132
              7            332        62.3844        5.32184       0.734369
              8            282        55.5711        5.07458        0.74479
              9            251         45.849         5.4745       0.879246
             10            235        40.0192        5.87218        1.00418
             11            206        34.1717        6.02838        1.11351
             12            187        29.3023        6.38176        1.26794
             13            162        25.3851         6.3817        1.36225
             14            140        20.4762        6.83721        1.61769
             15            122        16.5529        7.37029        1.93052
             16            104         13.636        7.62686        2.19662
             17             91        9.71492        9.36704        3.16161
             18             81        9.71492        8.33769        2.83089
             19             71        9.71492        7.30835        2.50004
             20             61        7.76516         7.8556        2.99312
