scan  pos_lower_zt
          shift             dt             hl          scale            err
           -500            114        17.5582        6.49268        1.66452
           -400            136         24.391        5.57582        1.22607
           -300            168        27.3146        6.15056        1.26891
           -200            193        33.2187        5.80998        1.09136
           -100            230        40.0063        5.74909       0.984822
              0            277        44.9135         6.1674       0.992073
            100            326        55.6554        5.85747       0.849539
            200            384        70.2771        5.46409       0.708934
            300            474        93.6459        5.06162       0.572393
            400            629        120.061          5.239       0.521772
            500            871        199.198        4.37254       0.343412
            600           1844        470.941        3.91557       0.202163
            700           6040        1613.47        3.74348       0.104907
            800          23336        6020.29        3.87623      0.0560322
            900          73177        17695.7         4.1353       0.034642
           1000         172987        40027.2        4.32173      0.0239705
