scan  pos_upper_cda
          shift             dt             hl          scale            err
             25            199        69.1996        2.87574       0.401328
             26            205        70.1744        2.92129       0.404029
             27            216        71.1426        3.03616       0.415032
             28            226        71.1426        3.17672       0.431859
             29            232        75.0416        3.09162       0.410572
             30            238        76.0233        3.13062       0.412429
             31            247        78.9585        3.12823       0.404419
             32            256          79.93         3.2028       0.410374
             33            262        83.8372         3.1251       0.392131
             34            264        85.7829        3.07754       0.382472
             35            270        87.7195        3.07799       0.378276
             36            278        87.7195        3.16919       0.388108
             37            287        93.5821        3.06683        0.36507
             38            291        97.4885        2.98497       0.349305
             39            297        98.4628        3.01637        0.35077
             40            308        103.384        2.97917       0.338623
