scan  pos_upper_zt
          shift             dt             hl          scale            err
            -20             46        12.6783        3.62825        1.15087
            -15             85        29.2237         2.9086       0.623712
            -10            133        49.6704        2.67765        0.44526
             -5            205        66.2205        3.09572       0.437572
              0            270        87.7195        3.07799       0.378276
              5            382        134.569         2.8387       0.284563
             10           1055        385.956        2.73347       0.162609
             15           2717        952.707        2.85187        0.10738
             20           4640        1648.52        2.81464      0.0807033
             25           6253        2217.92        2.81931      0.0696774
             30           7455        2655.32        2.80757        0.06345
