                mass           fit_sigma          acceptance             acc_err
                   0          0.00333976            0.734665          0.00136773
                  50          0.00331808            0.738317          0.00136197
                 100          0.00319049            0.745271          0.00135014
                 150          0.00299404            0.752062          0.00133775
                 200          0.00268588            0.763916           0.0013161
                 225          0.00252774            0.768742          0.00130655
                 250          0.00233903            0.776552          0.00129103
                 275          0.00212259            0.786486          0.00126945
                 300          0.00187313            0.791614          0.00125868
                 310          0.00176943            0.790778          0.00126013
                 320          0.00165085            0.783485          0.00127619
                 330           0.0015183            0.773454          0.00129639
                 340          0.00137816            0.752995          0.00133666
                 350          0.00121847            0.715295          0.00139838
                 360           0.0010328            0.656637          0.00147202
                 370         0.000816913            0.557431          0.00153928
                 380          0.00052135             0.35274          0.00148015
