           mass           mean          width       full_acc      width_acc  width_acc_err
            250         0.0625         0.0041       0.284212       0.195054     0.00047506
            251       0.063001         0.0041       0.284613       0.196599    0.000478769
            252       0.063504         0.0041       0.286562        0.19809    0.000478079
            253       0.064009         0.0041       0.286243       0.198376    0.000484168
            254       0.064516         0.0041       0.286248       0.198718    0.000478101
            255       0.065025         0.0041       0.286387        0.19949    0.000479059
            256       0.065536         0.0041       0.287587       0.200119    0.000482278
            257       0.066049         0.0041       0.287747       0.201459    0.000480688
            258       0.066564         0.0041       0.289271       0.202772    0.000481971
            259       0.067081         0.0041       0.288461       0.202709    0.000481885
            260         0.0676         0.0039       0.289501       0.197952    0.000477622
            261       0.068121         0.0039       0.290294       0.199051    0.000478773
            262       0.068644         0.0039       0.290577       0.199544    0.000479048
            263       0.069169         0.0039        0.29037       0.200069    0.000479589
            264       0.069696         0.0039       0.290539       0.199744     0.00047915
            265       0.070225         0.0039       0.291022       0.201501     0.00048096
            266       0.070756         0.0039       0.291302       0.202007    0.000481596
            267       0.071289         0.0039       0.292448       0.202904    0.000482045
            268       0.071824         0.0039        0.29253       0.204565    0.000483713
            269       0.072361         0.0039       0.292877       0.205058    0.000484254
            270         0.0729         0.0039       0.293374       0.205595    0.000484566
            271       0.073441         0.0039        0.29273       0.205614    0.000484632
            272       0.073984         0.0039       0.293256       0.206999    0.000485906
            273       0.074529         0.0039       0.294686       0.208091    0.000493969
            274       0.075076         0.0037       0.294373       0.201707    0.000487427
            275       0.075625         0.0037       0.294818       0.202172    0.000481299
            276       0.076176         0.0037       0.295319       0.202976    0.000482227
            277       0.076729         0.0037        0.29522       0.204236    0.000483326
            278       0.077284         0.0037       0.295724       0.204783    0.000483688
            279       0.077841         0.0037       0.297104       0.206275    0.000485147
            280         0.0784         0.0037       0.296644       0.206858    0.000485801
            281       0.078961         0.0037       0.296941        0.20793    0.000486603
            282       0.079524         0.0037       0.297944       0.208891    0.000487489
            283       0.080089         0.0037        0.29828       0.209262    0.000487533
            284       0.080656         0.0037       0.298307       0.210626    0.000488921
            285       0.081225         0.0037       0.299024       0.211711    0.000489868
            286       0.081796         0.0035       0.299119       0.204922    0.000484138
            287       0.082369         0.0035       0.299249       0.205643    0.000484596
            288       0.082944         0.0035        0.30065       0.207603     0.00048615
            289       0.083521         0.0035       0.300906       0.208267    0.000486812
            290         0.0841         0.0035       0.301858       0.209876    0.000488297
            291       0.084681         0.0035       0.301812        0.21005    0.000488397
            292       0.085264         0.0035       0.302848       0.211766     0.00048978
            293       0.085849         0.0035        0.30354        0.21325    0.000491199
            294       0.086436         0.0035       0.303216        0.21342    0.000491023
            295       0.087025         0.0035       0.302791       0.214314    0.000492066
            296       0.087616         0.0033       0.304058       0.207603    0.000487592
            297       0.088209         0.0033       0.304129       0.208194    0.000493746
            298       0.088804         0.0033       0.304985       0.209907    0.000495586
            299       0.089401         0.0033       0.305585       0.209903       0.000488
            300           0.09         0.0033       0.305725       0.212084    0.000490044
            301       0.090601         0.0033       0.306763       0.212948    0.000490815
            302       0.091204         0.0033       0.306593       0.213533    0.000491327
            303       0.091809         0.0033       0.307238       0.215253     0.00050799
            304       0.092416         0.0033       0.307529       0.215612    0.000492836
            305       0.093025         0.0033       0.308383       0.217948    0.000495035
            306       0.093636         0.0033       0.309007       0.218456    0.000495345
            307       0.094249         0.0031       0.308949       0.210977    0.000489131
            308       0.094864         0.0031       0.309705       0.211891    0.000490009
            309       0.095481         0.0031       0.309777       0.213056     0.00049073
            310         0.0961         0.0031       0.311485       0.215365    0.000492516
            311       0.096721         0.0031       0.312728       0.216814    0.000493777
            312       0.097344         0.0031       0.312839       0.217949    0.000494892
            313       0.097969         0.0031       0.312094       0.218371    0.000495342
            314       0.098596         0.0031        0.31233       0.219793    0.000496519
            315       0.099225         0.0031       0.313424       0.220648    0.000496956
            316       0.099856         0.0031       0.313765       0.221853    0.000497997
            317       0.100489         0.0031       0.315607       0.224643    0.000506832
            318       0.101124         0.0029       0.314434       0.215323    0.000492767
            319       0.101761         0.0029       0.315715       0.217244    0.000494451
            320         0.1024         0.0029       0.316697       0.219238    0.000495942
            321       0.103041         0.0029       0.316205       0.219515    0.000496346
            322       0.103684         0.0029       0.315671       0.219784     0.00049631
            323       0.104329         0.0029       0.317828       0.222758    0.000506066
            324       0.104976         0.0029       0.318498       0.223647    0.000499429
            325       0.105625         0.0029        0.31887       0.224677    0.000500016
            326       0.106276         0.0029         0.3187       0.226855    0.000502171
            327       0.106929         0.0029       0.319307       0.228254    0.000502969
            328       0.107584         0.0027       0.319548       0.218907    0.000495646
            329       0.108241         0.0027       0.319427       0.219488     0.00049619
            330         0.1089         0.0027       0.320812       0.222661    0.000498525
            331       0.109561         0.0027       0.320516       0.223313    0.000499096
            332       0.110224         0.0027       0.321229       0.224908    0.000500436
            333       0.110889         0.0027       0.321276       0.226163    0.000501434
            334       0.111556         0.0027       0.321653       0.227729    0.000502738
            335       0.112225         0.0027       0.321564       0.228612    0.000503643
            336       0.112896         0.0027       0.320906       0.229348    0.000503841
            337       0.113569         0.0025       0.321868         0.2209     0.00049748
            338       0.114244         0.0025       0.322035       0.221825    0.000497924
            339       0.114921         0.0025       0.323268       0.224558    0.000500178
            340         0.1156         0.0025       0.322925       0.225468    0.000500924
            341       0.116281         0.0025       0.324312        0.22771    0.000510098
            342       0.116964         0.0025       0.323726       0.229233    0.000504082
            343       0.117649         0.0025       0.323957       0.230134    0.000504621
            344       0.118336         0.0025       0.324068       0.231968    0.000506179
            345       0.119025         0.0023       0.323008       0.220685    0.000497218
            346       0.119716         0.0023        0.32443       0.222951    0.000498884
            347       0.120409         0.0023       0.324518       0.224821    0.000500651
            348       0.121104         0.0023       0.325519       0.226659    0.000501964
            349       0.121801         0.0023       0.325863       0.228607    0.000505641
            350         0.1225         0.0023       0.325294       0.229471    0.000504238
            351       0.123201         0.0023       0.324335       0.230807    0.000505053
            352       0.123904         0.0023        0.32438       0.231773    0.000505799
            353       0.124609         0.0023       0.324701       0.233904    0.000507354
            354       0.125316         0.0021       0.323783       0.222485    0.000498651
            355       0.126025         0.0021       0.324417       0.224613    0.000500235
            356       0.126736         0.0021       0.323754       0.225473    0.000500867
            357       0.127449         0.0021       0.319708       0.224641    0.000500535
            358       0.128164         0.0021       0.318681       0.225565    0.000500944
            359       0.128881         0.0021       0.314813       0.225462    0.000500918
            360         0.1296         0.0021       0.310027       0.224065    0.000499943
            361       0.130321         0.0021       0.305471       0.222063    0.000498292
            362       0.131044         0.0019       0.299763        0.20712    0.000485644
            363       0.131769         0.0019       0.293653       0.205541    0.000484506
            364       0.132496         0.0019       0.286016       0.202502    0.000481936
            365       0.133225         0.0019       0.278084       0.199301    0.000478932
            366       0.133956         0.0019       0.266811       0.194218    0.000474166
            367       0.134689         0.0017       0.257244       0.176581     0.00045717
            368       0.135424         0.0017       0.244342       0.169731    0.000450197
            369       0.136161         0.0017       0.232922       0.165031    0.000444952
            370         0.1369         0.0017       0.219521       0.157319    0.000436584
            371       0.137641         0.0017       0.205476       0.150906    0.000429245
            372       0.138384         0.0015       0.191264        0.13253     0.00040637
            373       0.139129         0.0015       0.175677       0.124169    0.000395584
            374       0.139876         0.0015       0.158993       0.115322    0.000382758
            375       0.140625         0.0015       0.139561       0.103408    0.000365175
            376       0.141376         0.0013       0.120502      0.0841936     0.00033315
            377       0.142129         0.0013      0.0999817      0.0712501    0.000308471
            378       0.142884         0.0013      0.0804624      0.0596725    0.000284246
            379       0.143641         0.0013      0.0631362      0.0476709    0.000255923
