           mass           mean          width       full_acc      width_acc  width_acc_err
            250         0.0625         0.0041        0.28406       0.195005    0.000475015
            251       0.063001         0.0041       0.284467       0.196545    0.000478719
            252       0.063504         0.0041       0.286397       0.198032    0.000478027
            253       0.064009         0.0041       0.286083       0.198306    0.000484104
            254       0.064516         0.0041       0.286089       0.198677    0.000478065
            255       0.065025         0.0041       0.286232       0.199432    0.000479006
            256       0.065536         0.0041       0.287397       0.200057    0.000482222
            257       0.066049         0.0041       0.287564       0.201397    0.000480632
            258       0.066564         0.0041       0.289096       0.202711    0.000481916
            259       0.067081         0.0041       0.288265       0.202647     0.00048183
            260         0.0676         0.0039       0.289307       0.197876    0.000477553
            261       0.068121         0.0039       0.290149       0.199015    0.000478741
            262       0.068644         0.0039       0.290384       0.199481    0.000478991
            263       0.069169         0.0039       0.290175       0.200007    0.000479534
            264       0.069696         0.0039        0.29036       0.199674    0.000479086
            265       0.070225         0.0039       0.290852       0.201436    0.000480903
            266       0.070756         0.0039       0.291107       0.201939    0.000481535
            267       0.071289         0.0039       0.292262       0.202842    0.000481989
            268       0.071824         0.0039       0.292338       0.204492     0.00048365
            269       0.072361         0.0039       0.292688        0.20498    0.000484186
            270         0.0729         0.0039       0.293219       0.205537    0.000484516
            271       0.073441         0.0039       0.292513       0.205543    0.000484569
            272       0.073984         0.0039       0.293039       0.206912     0.00048583
            273       0.074529         0.0039       0.294466       0.208004    0.000493894
            274       0.075076         0.0037       0.294165       0.201642    0.000487368
            275       0.075625         0.0037       0.294605       0.202086    0.000481223
            276       0.076176         0.0037       0.295083       0.202898    0.000482159
            277       0.076729         0.0037       0.295028       0.204173    0.000483271
            278       0.077284         0.0037       0.295512       0.204703    0.000483619
            279       0.077841         0.0037       0.296885       0.206207    0.000485087
            280         0.0784         0.0037       0.296417       0.206774    0.000485729
            281       0.078961         0.0037       0.296708       0.207847     0.00048653
            282       0.079524         0.0037       0.297716        0.20882    0.000487428
            283       0.080089         0.0037       0.298034       0.209169    0.000487453
            284       0.080656         0.0037       0.298061       0.210531    0.000488841
            285       0.081225         0.0037       0.298768       0.211617    0.000489788
            286       0.081796         0.0035       0.298848       0.204845    0.000484071
            287       0.082369         0.0035       0.298995       0.205563    0.000484528
            288       0.082944         0.0035       0.300398       0.207526    0.000486084
            289       0.083521         0.0035       0.300666         0.2082    0.000486754
            290         0.0841         0.0035       0.301564       0.209789    0.000488223
            291       0.084681         0.0035       0.301574       0.209986    0.000488342
            292       0.085264         0.0035        0.30259       0.211672      0.0004897
            293       0.085849         0.0035       0.303312       0.213158    0.000491122
            294       0.086436         0.0035       0.302941       0.213321     0.00049094
            295       0.087025         0.0035       0.302576       0.214235       0.000492
            296       0.087616         0.0033       0.303838       0.207532     0.00048753
            297       0.088209         0.0033       0.303877       0.208125    0.000493686
            298       0.088804         0.0033       0.304759       0.209818    0.000495509
            299       0.089401         0.0033       0.305332        0.20981    0.000487921
            300           0.09         0.0033        0.30545       0.211979    0.000489956
            301       0.090601         0.0033       0.306506       0.212866    0.000490746
            302       0.091204         0.0033       0.306286       0.213463    0.000491269
            303       0.091809         0.0033       0.306987        0.21517    0.000507918
            304       0.092416         0.0033       0.307269       0.215515    0.000492756
            305       0.093025         0.0033       0.308135       0.217854    0.000494958
            306       0.093636         0.0033        0.30875       0.218369    0.000495275
            307       0.094249         0.0031       0.308667       0.210892    0.000489058
            308       0.094864         0.0031       0.309388       0.211793    0.000489927
            309       0.095481         0.0031        0.30945       0.212948     0.00049064
            310         0.0961         0.0031       0.311126       0.215239    0.000492412
            311       0.096721         0.0031       0.312249       0.216621    0.000493619
            312       0.097344         0.0031       0.312321       0.217724    0.000494708
            313       0.097969         0.0031       0.311419       0.217977     0.00049502
            314       0.098596         0.0031       0.311546       0.219329    0.000496143
            315       0.099225         0.0031       0.312365       0.219954    0.000496396
            316       0.099856         0.0031       0.312417       0.221018    0.000497327
            317       0.100489         0.0031       0.313709       0.223366    0.000505806
            318       0.101124         0.0029       0.312412       0.214002    0.000491669
            319       0.101761         0.0029       0.313224       0.215568    0.000493069
            320         0.1024         0.0029       0.313622       0.217117    0.000494209
            321       0.103041         0.0029       0.312665        0.21708    0.000494358
            322       0.103684         0.0029        0.31149       0.216836    0.000493905
            323       0.104329         0.0029       0.312787       0.219194    0.000503154
            324       0.104976         0.0029       0.312936        0.21973    0.000496288
            325       0.105625         0.0029       0.312233       0.220006    0.000496285
            326       0.106276         0.0029       0.311412       0.221687    0.000498081
            327       0.106929         0.0029       0.310733       0.222195    0.000498199
            328       0.107584         0.0027       0.309918       0.212299    0.000490174
            329       0.108241         0.0027       0.308675       0.211971    0.000489972
            330         0.1089         0.0027       0.308656       0.214202    0.000491627
            331       0.109561         0.0027        0.30675       0.213648    0.000491214
            332       0.110224         0.0027        0.30639       0.214623    0.000492104
            333       0.110889         0.0027       0.304939       0.214713     0.00049219
            334       0.111556         0.0027        0.30391       0.215237    0.000492707
            335       0.112225         0.0027       0.302501       0.215103     0.00049281
            336       0.112896         0.0027       0.300341        0.21484     0.00049223
            337       0.113569         0.0025         0.2996        0.20589    0.000484903
            338       0.114244         0.0025       0.298412       0.205812    0.000484543
            339       0.114921         0.0025       0.297752       0.207235    0.000485855
            340         0.1156         0.0025       0.295751       0.206749    0.000485463
            341       0.116281         0.0025       0.295031       0.207639    0.000493412
            342       0.116964         0.0025       0.292546       0.207795    0.000486585
            343       0.117649         0.0025       0.291072       0.207627    0.000486292
            344       0.118336         0.0025       0.289067       0.207918    0.000486695
            345       0.119025         0.0023       0.285739       0.196029    0.000476006
            346       0.119716         0.0023       0.285078       0.197139    0.000476876
            347       0.120409         0.0023       0.283582       0.197638    0.000477603
            348       0.121104         0.0023       0.281598       0.197481    0.000477333
            349       0.121801         0.0023       0.279907       0.197681    0.000479568
            350         0.1225         0.0023       0.277725       0.197691    0.000477615
            351       0.123201         0.0023       0.274292        0.19692    0.000476712
            352       0.123904         0.0023       0.272265       0.196435    0.000476278
            353       0.124609         0.0021       0.270111        0.18533    0.000465767
            354       0.125316         0.0021       0.267658       0.186111    0.000466663
            355       0.126025         0.0021       0.265851       0.186499    0.000466938
            356       0.126736         0.0021       0.263373       0.185895    0.000466313
            357       0.127449         0.0021       0.258219       0.183873    0.000464649
            358       0.128164         0.0021        0.25622       0.183959    0.000464436
            359       0.128881         0.0021       0.252443       0.183593    0.000464129
            360         0.1296         0.0019       0.248002       0.170791    0.000451287
            361       0.130321         0.0019       0.243853       0.169242    0.000449607
            362       0.131044         0.0019       0.239151         0.1681    0.000448204
            363       0.131769         0.0019       0.234567       0.166833    0.000447069
            364       0.132496         0.0019       0.228893       0.164644    0.000444808
            365       0.133225         0.0019       0.222609       0.162095    0.000441897
            366       0.133956         0.0017       0.214534       0.147785    0.000425444
            367       0.134689         0.0017       0.208298       0.145251    0.000422503
            368       0.135424         0.0017       0.198989       0.140399    0.000416677
            369       0.136161         0.0017       0.191497       0.137656    0.000413036
            370         0.1369         0.0017       0.181587       0.131848    0.000405729
            371       0.137641         0.0015       0.172071       0.118182    0.000387183
            372       0.138384         0.0015       0.162422       0.113915    0.000380817
            373       0.139129         0.0015       0.151117       0.108055    0.000372446
            374       0.139876         0.0015       0.139181       0.102054    0.000362794
            375       0.140625         0.0013       0.124688      0.0853468     0.00033514
            376       0.141376         0.0013       0.109593      0.0771617    0.000320183
            377       0.142129         0.0013      0.0930585      0.0667772    0.000299372
            378       0.142884         0.0013      0.0765842      0.0571145    0.000278478
            379       0.143641         0.0011      0.0616665      0.0424652    0.000242242
