                 run          burst_time             poskick             negkick
               20438          1188938440                0.25               -0.25
               20438          1188938457                0.25               -0.25
               20438          1188938474                0.25               -0.25
               20438          1188938491                0.25               -0.25
               20438          1188938508                0.25               -0.25
               20438          1188938524                0.25               -0.25
               20438          1188938541                0.25               -0.25
               20438          1188938558                0.25               -0.25
               20438          1188938575                0.25               -0.25
               20438          1188938592                0.25               -0.25
               20438          1188938625                0.25               -0.25
               20438          1188938642                0.25               -0.25
               20438          1188938659                0.25               -0.25
               20438          1188938676                0.25               -0.25
               20438          1188938692                0.25               -0.25
               20438          1188938709                0.25               -0.25
               20438          1188938726                0.25               -0.25
               20438          1188938760                0.25               -0.25
               20438          1188938776                0.25               -0.25
               20438          1188938793                0.25               -0.25
               20438          1188938810                0.25               -0.25
               20438          1188939517                0.25               -0.25
               20438          1188939531                0.25               -0.25
               20438          1188939546                0.25               -0.25
               20438          1188939560                0.25               -0.25
               20438          1188939574                0.25               -0.25
               20438          1188939589                0.25               -0.25
               20438          1188939603                0.25               -0.25
               20438          1188939618                0.25               -0.25
               20438          1188939632                0.25               -0.25
               20438          1188939646                0.25               -0.25
               20438          1188939661                0.25               -0.25
               20438          1188939690                0.25               -0.25
               20438          1188939704                0.25               -0.25
               20438          1188939733                0.25               -0.25
               20438          1188939747                0.25               -0.25
               20438          1188939762                0.25               -0.25
               20438          1188939776                0.25               -0.25
               20438          1188939790                0.25               -0.25
               20438          1188939805                0.25               -0.25
               20438          1188939819                0.25               -0.25
               20438          1188939834                0.25               -0.25
               20438          1188939848                0.25               -0.25
               20438          1188939862                0.25               -0.25
               20438          1188939877                0.25               -0.25
               20438          1188939891                0.25               -0.25
               20438          1188939906                0.25               -0.25
               20438          1188939934                0.25               -0.25
               20438          1188939949                0.25               -0.25
               20438          1188939963                0.25               -0.25
               20438          1188939978                0.25               -0.25
               20438          1188939992                0.25               -0.25
               20438          1188940006                0.25               -0.25
               20438          1188940021                0.25               -0.25
               20438          1188940035                0.25               -0.25
               20438          1188940050                0.25               -0.25
               20438          1188940064                0.25               -0.25
               20438          1188940078                0.25               -0.25
               20438          1188940093                0.25               -0.25
               20438          1188940122                0.25               -0.25
               20438          1188940136                0.25               -0.25
               20438          1188940150                0.25               -0.25
               20438          1188940165                0.25               -0.25
               20438          1188940179                0.25               -0.25
               20438          1188940194                0.25               -0.25
               20438          1188940208                0.25               -0.25
               20438          1188940222                0.25               -0.25
               20438          1188940251                0.25               -0.25
               20438          1188940266                0.25               -0.25
               20438          1188940280                0.25               -0.25
               20438          1188940294                0.25               -0.25
               20438          1188940309                0.25               -0.25
               20438          1188940323                0.25               -0.25
               20438          1188940338                0.25               -0.25
               20438          1188940352                0.25               -0.25
               20438          1188940366                0.25               -0.25
               20438          1188940568                0.25               -0.25
               20438          1188940582                0.25               -0.25
               20438          1188940597                0.25               -0.25
               20438          1188940611                0.25               -0.25
               20438          1188940626                0.25               -0.25
               20438          1188940640                0.25               -0.25
               20438          1188940654                0.25               -0.25
               20438          1188940669                0.25               -0.25
               20438          1188940683                0.25               -0.25
               20438          1188940712                0.25               -0.25
               20438          1188940726                0.25               -0.25
               20438          1188940741                0.25               -0.25
               20438          1188940770                0.25               -0.25
               20438          1188940784                0.25               -0.25
               20438          1188940798                0.25               -0.25
               20438          1188940813                0.25               -0.25
               20438          1188940827                0.25               -0.25
               20438          1188940856                0.25               -0.25
               20438          1188940870                0.25               -0.25
               20438          1188940885                0.25               -0.25
               20438          1188940899                0.25               -0.25
               20438          1188940914                0.25               -0.25
               20438          1188940928                0.25               -0.25
               20438          1188941317                0.25               -0.25
               20438          1188941331                0.25               -0.25
               20438          1188941360                0.25               -0.25
               20438          1188941374                0.25               -0.25
               20438          1188941389                0.25               -0.25
               20438          1188941403                0.25               -0.25
               20438          1188941418                0.25               -0.25
               20438          1188941432                0.25               -0.25
