                 run          burst_time             poskick             negkick
               20410          1188421476               -0.25                0.25
               20410          1188421490               -0.25                0.25
               20410          1188421504               -0.25                0.25
               20410          1188421519               -0.25                0.25
               20410          1188421533               -0.25                0.25
               20410          1188421562               -0.25                0.25
               20410          1188421576               -0.25                0.25
               20410          1188421605               -0.25                0.25
               20410          1188421620               -0.25                0.25
               20410          1188421634               -0.25                0.25
               20410          1188421648               -0.25                0.25
               20410          1188421677               -0.25                0.25
               20410          1188421692               -0.25                0.25
               20410          1188421706               -0.25                0.25
               20410          1188421720               -0.25                0.25
               20410          1188421735               -0.25                0.25
               20410          1188421749               -0.25                0.25
               20410          1188421778               -0.25                0.25
               20410          1188421807               -0.25                0.25
               20410          1188421821               -0.25                0.25
               20410          1188421836               -0.25                0.25
               20410          1188421850               -0.25                0.25
               20410          1188421864               -0.25                0.25
               20410          1188421879               -0.25                0.25
               20410          1188421893               -0.25                0.25
               20410          1188421908               -0.25                0.25
               20410          1188421922               -0.25                0.25
               20410          1188421936               -0.25                0.25
               20410          1188421951               -0.25                0.25
               20410          1188421980               -0.25                0.25
               20410          1188421994               -0.25                0.25
               20410          1188422023               -0.25                0.25
               20410          1188422037               -0.25                0.25
               20410          1188422052               -0.25                0.25
               20410          1188422080               -0.25                0.25
               20410          1188422095               -0.25                0.25
               20410          1188422109               -0.25                0.25
               20410          1188422124               -0.25                0.25
               20410          1188422138               -0.25                0.25
               20410          1188422152               -0.25                0.25
               20410          1188422167               -0.25                0.25
               20410          1188422181               -0.25                0.25
               20410          1188422210               -0.25                0.25
               20410          1188422224               -0.25                0.25
               20410          1188422239               -0.25                0.25
               20410          1188422268               -0.25                0.25
               20410          1188422282               -0.25                0.25
               20410          1188422296               -0.25                0.25
               20410          1188422325               -0.25                0.25
               20410          1188422340               -0.25                0.25
               20410          1188422354               -0.25                0.25
               20410          1188422368               -0.25                0.25
               20410          1188422383               -0.25                0.25
               20410          1188422397               -0.25                0.25
               20410          1188422412               -0.25                0.25
               20410          1188422426               -0.25                0.25
               20410          1188422440               -0.25                0.25
               20410          1188422455               -0.25                0.25
               20410          1188422469               -0.25                0.25
               20410          1188422498               -0.25                0.25
               20410          1188422512               -0.25                0.25
               20410          1188422527               -0.25                0.25
               20410          1188422556               -0.25                0.25
               20410          1188422570               -0.25                0.25
               20410          1188422584               -0.25                0.25
               20410          1188422599               -0.25                0.25
               20410          1188422613               -0.25                0.25
               20410          1188422628               -0.25                0.25
               20410          1188422642               -0.25                0.25
               20410          1188422656               -0.25                0.25
               20410          1188422743               -0.25                0.25
               20410          1188422757               -0.25                0.25
               20410          1188422772               -0.25                0.25
               20410          1188422829               -0.25                0.25
               20410          1188422844               -0.25                0.25
               20410          1188422858               -0.25                0.25
               20410          1188422872               -0.25                0.25
               20410          1188422901               -0.25                0.25
               20410          1188422944               -0.25                0.25
