                 run          burst_time             poskick             negkick
               20522          1191133836               -0.25                0.25
               20522          1191133850               -0.25                0.25
               20522          1191133864               -0.25                0.25
               20522          1191133879               -0.25                0.25
               20522          1191133893               -0.25                0.25
               20522          1191133908               -0.25                0.25
               20522          1191133922               -0.25                0.25
               20522          1191133936               -0.25                0.25
               20522          1191133951               -0.25                0.25
               20522          1191133965               -0.25                0.25
               20522          1191133980               -0.25                0.25
               20522          1191133994               -0.25                0.25
               20522          1191134008               -0.25                0.25
               20522          1191134023               -0.25                0.25
               20522          1191134037               -0.25                0.25
               20522          1191134052               -0.25                0.25
               20522          1191134066               -0.25                0.25
               20522          1191134080               -0.25                0.25
               20522          1191134095               -0.25                0.25
               20522          1191134109               -0.25                0.25
               20522          1191134124               -0.25                0.25
               20522          1191134138               -0.25                0.25
               20522          1191134167               -0.25                0.25
               20522          1191134181               -0.25                0.25
               20522          1191134196               -0.25                0.25
               20522          1191134210               -0.25                0.25
               20522          1191134224               -0.25                0.25
               20522          1191134239               -0.25                0.25
               20522          1191134253               -0.25                0.25
               20522          1191134268               -0.25                0.25
               20522          1191134282               -0.25                0.25
               20522          1191134296               -0.25                0.25
               20522          1191134311               -0.25                0.25
               20522          1191134325               -0.25                0.25
               20522          1191134340               -0.25                0.25
               20522          1191134354               -0.25                0.25
               20522          1191134368               -0.25                0.25
               20522          1191134383               -0.25                0.25
               20522          1191134397               -0.25                0.25
               20522          1191134412               -0.25                0.25
               20522          1191134426               -0.25                0.25
               20522          1191134440               -0.25                0.25
               20522          1191134455               -0.25                0.25
               20522          1191134469               -0.25                0.25
               20522          1191134484               -0.25                0.25
               20522          1191134498               -0.25                0.25
               20522          1191134512               -0.25                0.25
               20522          1191134527               -0.25                0.25
               20522          1191134599               -0.25                0.25
               20522          1191134613               -0.25                0.25
               20522          1191134628               -0.25                0.25
               20522          1191134642               -0.25                0.25
               20522          1191134656               -0.25                0.25
               20522          1191134671               -0.25                0.25
               20522          1191134685               -0.25                0.25
               20522          1191134700               -0.25                0.25
               20522          1191134714               -0.25                0.25
               20522          1191134829               -0.25                0.25
               20522          1191134844               -0.25                0.25
               20522          1191134901               -0.25                0.25
               20522          1191134916               -0.25                0.25
               20522          1191134930               -0.25                0.25
               20522          1191134944               -0.25                0.25
               20522          1191134959               -0.25                0.25
               20522          1191134973               -0.25                0.25
               20522          1191134988               -0.25                0.25
               20522          1191135002               -0.25                0.25
               20522          1191135016               -0.25                0.25
               20522          1191135031               -0.25                0.25
               20522          1191135045               -0.25                0.25
               20522          1191135060               -0.25                0.25
               20522          1191135074               -0.25                0.25
               20522          1191135088               -0.25                0.25
               20522          1191135103               -0.25                0.25
               20522          1191135117               -0.25                0.25
               20522          1191135132               -0.25                0.25
               20522          1191135146               -0.25                0.25
               20522          1191135160               -0.25                0.25
               20522          1191135175               -0.25                0.25
               20522          1191135189               -0.25                0.25
               20522          1191135204               -0.25                0.25
               20522          1191135218               -0.25                0.25
               20522          1191135232               -0.25                0.25
               20522          1191135247               -0.25                0.25
               20522          1191135261               -0.25                0.25
               20522          1191135276               -0.25                0.25
               20522          1191135290               -0.25                0.25
               20522          1191135304               -0.25                0.25
               20522          1191135319               -0.25                0.25
               20522          1191135348               -0.25                0.25
               20522          1191135362               -0.25                0.25
               20522          1191135420               -0.25                0.25
               20522          1191135434               -0.25                0.25
               20522          1191135448               -0.25                0.25
               20522          1191135506               -0.25                0.25
               20522          1191135520               -0.25                0.25
               20522          1191135535               -0.25                0.25
               20522          1191135549               -0.25                0.25
               20522          1191135564               -0.25                0.25
               20522          1191135578               -0.25                0.25
               20522          1191135592               -0.25                0.25
               20522          1191135607               -0.25                0.25
               20522          1191135621               -0.25                0.25
               20522          1191135636               -0.25                0.25
               20522          1191135650               -0.25                0.25
               20522          1191135664               -0.25                0.25
               20522          1191135679               -0.25                0.25
               20522          1191135693               -0.25                0.25
               20522          1191135708               -0.25                0.25
               20522          1191135722               -0.25                0.25
               20522          1191135736               -0.25                0.25
               20522          1191135751               -0.25                0.25
               20522          1191135765               -0.25                0.25
               20522          1191135780               -0.25                0.25
               20522          1191135794               -0.25                0.25
               20522          1191135808               -0.25                0.25
               20522          1191135823               -0.25                0.25
               20522          1191135837               -0.25                0.25
               20522          1191135852               -0.25                0.25
               20522          1191135866               -0.25                0.25
               20522          1191135880               -0.25                0.25
               20522          1191135895               -0.25                0.25
               20522          1191135909               -0.25                0.25
               20522          1191135924               -0.25                0.25
               20522          1191135938               -0.25                0.25
               20522          1191135952               -0.25                0.25
               20522          1191135967               -0.25                0.25
               20522          1191135981               -0.25                0.25
               20522          1191135996               -0.25                0.25
               20522          1191136010               -0.25                0.25
               20522          1191136024               -0.25                0.25
               20522          1191136039               -0.25                0.25
               20522          1191136053               -0.25                0.25
               20522          1191136183               -0.25                0.25
               20522          1191136197               -0.25                0.25
               20522          1191136212               -0.25                0.25
               20522          1191136226               -0.25                0.25
               20522          1191136240               -0.25                0.25
               20522          1191136255               -0.25                0.25
               20522          1191136269               -0.25                0.25
               20522          1191136284               -0.25                0.25
               20522          1191136298               -0.25                0.25
               20522          1191136312               -0.25                0.25
               20522          1191136327               -0.25                0.25
               20522          1191136341               -0.25                0.25
               20522          1191136356               -0.25                0.25
               20522          1191136370               -0.25                0.25
               20522          1191136384               -0.25                0.25
               20522          1191136399               -0.25                0.25
               20522          1191136413               -0.25                0.25
               20522          1191136428               -0.25                0.25
               20522          1191136442               -0.25                0.25
               20522          1191136456               -0.25                0.25
               20522          1191136471               -0.25                0.25
               20522          1191136485               -0.25                0.25
               20522          1191136500               -0.25                0.25
               20522          1191136514               -0.25                0.25
               20522          1191136528               -0.25                0.25
               20522          1191136543               -0.25                0.25
               20522          1191136557               -0.25                0.25
               20522          1191136572               -0.25                0.25
               20522          1191136586               -0.25                0.25
               20522          1191136600               -0.25                0.25
               20522          1191136615               -0.25                0.25
               20522          1191136658               -0.25                0.25
               20522          1191136672               -0.25                0.25
               20522          1191136687               -0.25                0.25
               20522          1191136701               -0.25                0.25
               20522          1191136716               -0.25                0.25
               20522          1191136730               -0.25                0.25
               20522          1191136744               -0.25                0.25
               20522          1191136759               -0.25                0.25
               20522          1191136773               -0.25                0.25
               20522          1191136788               -0.25                0.25
               20522          1191136802               -0.25                0.25
               20522          1191136816               -0.25                0.25
               20522          1191136831               -0.25                0.25
               20522          1191136845               -0.25                0.25
               20522          1191136860               -0.25                0.25
               20522          1191136874               -0.25                0.25
               20522          1191136888               -0.25                0.25
               20522          1191136903               -0.25                0.25
               20522          1191136917               -0.25                0.25
               20522          1191136932               -0.25                0.25
               20522          1191136946               -0.25                0.25
               20522          1191136961               -0.25                0.25
               20522          1191136975               -0.25                0.25
               20522          1191136989               -0.25                0.25
               20522          1191137004               -0.25                0.25
               20522          1191137018               -0.25                0.25
               20522          1191137033               -0.25                0.25
               20522          1191137047               -0.25                0.25
               20522          1191137061               -0.25                0.25
               20522          1191137076               -0.25                0.25
               20522          1191137090               -0.25                0.25
               20522          1191137104               -0.25                0.25
               20522          1191137119               -0.25                0.25
               20522          1191137133               -0.25                0.25
               20522          1191137148               -0.25                0.25
               20522          1191137162               -0.25                0.25
               20522          1191137177               -0.25                0.25
               20522          1191137191               -0.25                0.25
               20522          1191137205               -0.25                0.25
               20522          1191137220               -0.25                0.25
               20522          1191137234               -0.25                0.25
               20522          1191137248               -0.25                0.25
               20522          1191137263               -0.25                0.25
               20522          1191137277               -0.25                0.25
               20522          1191137292               -0.25                0.25
               20522          1191137306               -0.25                0.25
               20522          1191137320               -0.25                0.25
               20522          1191137335               -0.25                0.25
               20522          1191137349               -0.25                0.25
               20522          1191137364               -0.25                0.25
               20522          1191137378               -0.25                0.25
               20522          1191137392               -0.25                0.25
               20522          1191137407               -0.25                0.25
               20522          1191137421               -0.25                0.25
               20522          1191137436               -0.25                0.25
               20522          1191137450               -0.25                0.25
               20522          1191137464               -0.25                0.25
               20522          1191137479               -0.25                0.25
               20522          1191137493               -0.25                0.25
               20522          1191137508               -0.25                0.25
               20522          1191137522               -0.25                0.25
               20522          1191137536               -0.25                0.25
               20522          1191137551               -0.25                0.25
               20522          1191137565               -0.25                0.25
               20522          1191137580               -0.25                0.25
               20522          1191137594               -0.25                0.25
               20522          1191137608               -0.25                0.25
               20522          1191137623               -0.25                0.25
               20522          1191137637               -0.25                0.25
               20522          1191137652               -0.25                0.25
               20522          1191137666               -0.25                0.25
               20522          1191137680               -0.25                0.25
               20522          1191137695               -0.25                0.25
               20522          1191137709               -0.25                0.25
               20522          1191137724               -0.25                0.25
               20522          1191137738               -0.25                0.25
               20522          1191137752               -0.25                0.25
               20522          1191137767               -0.25                0.25
               20522          1191137781               -0.25                0.25
               20522          1191137796               -0.25                0.25
               20522          1191137810               -0.25                0.25
               20522          1191137824               -0.25                0.25
               20522          1191137839               -0.25                0.25
               20522          1191137853               -0.25                0.25
               20522          1191137868               -0.25                0.25
               20522          1191137882               -0.25                0.25
               20522          1191137896               -0.25                0.25
               20522          1191137911               -0.25                0.25
               20522          1191137925               -0.25                0.25
               20522          1191137940               -0.25                0.25
               20522          1191137954               -0.25                0.25
               20522          1191137968               -0.25                0.25
               20522          1191137983               -0.25                0.25
               20522          1191137997               -0.25                0.25
               20522          1191138012               -0.25                0.25
               20522          1191138026               -0.25                0.25
               20522          1191138041               -0.25                0.25
               20522          1191138055               -0.25                0.25
               20522          1191138069               -0.25                0.25
               20522          1191138084               -0.25                0.25
               20522          1191138098               -0.25                0.25
               20522          1191138112               -0.25                0.25
               20522          1191138127               -0.25                0.25
               20522          1191138141               -0.25                0.25
               20522          1191138156               -0.25                0.25
               20522          1191138170               -0.25                0.25
               20522          1191138184               -0.25                0.25
               20522          1191138213               -0.25                0.25
               20522          1191138228               -0.25                0.25
               20522          1191138242               -0.25                0.25
               20522          1191138256               -0.25                0.25
               20522          1191138271               -0.25                0.25
               20522          1191138285               -0.25                0.25
               20522          1191138300               -0.25                0.25
               20522          1191138314               -0.25                0.25
               20522          1191138328               -0.25                0.25
               20522          1191138343               -0.25                0.25
               20522          1191138357               -0.25                0.25
               20522          1191138372               -0.25                0.25
               20522          1191138386               -0.25                0.25
               20522          1191138400               -0.25                0.25
               20522          1191138415               -0.25                0.25
               20522          1191138429               -0.25                0.25
               20522          1191138444               -0.25                0.25
               20522          1191138458               -0.25                0.25
               20522          1191138472               -0.25                0.25
               20522          1191138487               -0.25                0.25
               20522          1191138501               -0.25                0.25
               20522          1191138516               -0.25                0.25
               20522          1191138530               -0.25                0.25
               20522          1191138544               -0.25                0.25
               20522          1191138559               -0.25                0.25
               20522          1191138573               -0.25                0.25
               20522          1191138588               -0.25                0.25
               20522          1191138602               -0.25                0.25
               20522          1191138616               -0.25                0.25
               20522          1191138631               -0.25                0.25
               20522          1191138645               -0.25                0.25
               20522          1191138660               -0.25                0.25
               20522          1191138674               -0.25                0.25
               20522          1191138688               -0.25                0.25
               20522          1191138703               -0.25                0.25
               20522          1191138717               -0.25                0.25
               20522          1191138732               -0.25                0.25
               20522          1191138746               -0.25                0.25
               20522          1191138760               -0.25                0.25
               20522          1191138775               -0.25                0.25
               20522          1191138789               -0.25                0.25
               20522          1191138804               -0.25                0.25
               20522          1191138818               -0.25                0.25
               20522          1191138832               -0.25                0.25
               20522          1191138847               -0.25                0.25
               20522          1191138861               -0.25                0.25
               20522          1191138876               -0.25                0.25
               20522          1191138890               -0.25                0.25
               20522          1191138904               -0.25                0.25
               20522          1191138919               -0.25                0.25
               20522          1191138933               -0.25                0.25
               20522          1191138948               -0.25                0.25
               20522          1191138962               -0.25                0.25
               20522          1191138976               -0.25                0.25
               20522          1191138991               -0.25                0.25
               20522          1191139005               -0.25                0.25
               20522          1191139020               -0.25                0.25
               20522          1191139034               -0.25                0.25
               20522          1191139048               -0.25                0.25
               20522          1191139063               -0.25                0.25
               20522          1191139077               -0.25                0.25
               20522          1191139092               -0.25                0.25
               20522          1191139106               -0.25                0.25
               20522          1191139120               -0.25                0.25
               20522          1191139135               -0.25                0.25
               20522          1191139149               -0.25                0.25
               20522          1191139164               -0.25                0.25
               20522          1191139178               -0.25                0.25
               20522          1191139192               -0.25                0.25
               20522          1191139207               -0.25                0.25
               20522          1191139221               -0.25                0.25
