                 run          burst_time             poskick             negkick
               20487          1190370327                0.25               -0.25
               20487          1190370350                0.25               -0.25
               20487          1190370373                0.25               -0.25
               20487          1190370396                0.25               -0.25
               20487          1190370418                0.25               -0.25
               20487          1190370441                0.25               -0.25
               20487          1190370669                0.25               -0.25
               20487          1190370692                0.25               -0.25
               20487          1190370715                0.25               -0.25
               20487          1190370738                0.25               -0.25
               20487          1190370760                0.25               -0.25
               20487          1190370783                0.25               -0.25
               20487          1190370806                0.25               -0.25
               20487          1190370829                0.25               -0.25
               20487          1190370852                0.25               -0.25
               20487          1190370874                0.25               -0.25
               20487          1190370897                0.25               -0.25
               20487          1190370920                0.25               -0.25
               20487          1190370943                0.25               -0.25
               20487          1190370966                0.25               -0.25
               20487          1190370988                0.25               -0.25
               20487          1190371011                0.25               -0.25
               20487          1190371034                0.25               -0.25
               20487          1190371057                0.25               -0.25
               20487          1190371080                0.25               -0.25
               20487          1190371102                0.25               -0.25
               20487          1190371125                0.25               -0.25
               20487          1190371148                0.25               -0.25
               20487          1190371171                0.25               -0.25
               20487          1190371194                0.25               -0.25
               20487          1190371216                0.25               -0.25
               20487          1190371239                0.25               -0.25
               20487          1190371262                0.25               -0.25
               20487          1190371285                0.25               -0.25
               20487          1190371308                0.25               -0.25
               20487          1190371330                0.25               -0.25
               20487          1190371353                0.25               -0.25
               20487          1190371376                0.25               -0.25
               20487          1190371399                0.25               -0.25
               20487          1190371422                0.25               -0.25
               20487          1190371444                0.25               -0.25
               20487          1190371467                0.25               -0.25
               20487          1190371490                0.25               -0.25
               20487          1190371513                0.25               -0.25
               20487          1190371536                0.25               -0.25
               20487          1190371558                0.25               -0.25
               20487          1190371581                0.25               -0.25
               20487          1190371604                0.25               -0.25
               20487          1190371627                0.25               -0.25
               20487          1190371650                0.25               -0.25
               20487          1190371672                0.25               -0.25
               20487          1190371695                0.25               -0.25
               20487          1190371718                0.25               -0.25
               20487          1190371741                0.25               -0.25
               20487          1190371764                0.25               -0.25
               20487          1190371786                0.25               -0.25
               20487          1190371809                0.25               -0.25
               20487          1190371855                0.25               -0.25
               20487          1190371878                0.25               -0.25
