                 run          burst_time             poskick             negkick
               20501          1190615721               -0.25                0.25
               20501          1190615744               -0.25                0.25
               20501          1190615790               -0.25                0.25
               20501          1190615812               -0.25                0.25
               20501          1190615835               -0.25                0.25
               20501          1190615858               -0.25                0.25
               20501          1190615881               -0.25                0.25
               20501          1190615926               -0.25                0.25
               20501          1190615949               -0.25                0.25
               20501          1190615972               -0.25                0.25
               20501          1190615995               -0.25                0.25
               20501          1190616018               -0.25                0.25
               20501          1190616063               -0.25                0.25
               20501          1190616109               -0.25                0.25
               20501          1190616154               -0.25                0.25
               20501          1190616200               -0.25                0.25
               20501          1190616246               -0.25                0.25
               20501          1190616268               -0.25                0.25
               20501          1190616291               -0.25                0.25
               20501          1190616360               -0.25                0.25
               20501          1190616428               -0.25                0.25
               20501          1190616451               -0.25                0.25
               20501          1190616474               -0.25                0.25
               20501          1190616496               -0.25                0.25
               20501          1190616519               -0.25                0.25
               20501          1190616565               -0.25                0.25
               20501          1190616588               -0.25                0.25
               20501          1190616633               -0.25                0.25
               20501          1190616656               -0.25                0.25
               20501          1190616702               -0.25                0.25
               20501          1190616724               -0.25                0.25
               20501          1190616770               -0.25                0.25
               20501          1190616816               -0.25                0.25
               20501          1190616907               -0.25                0.25
               20501          1190616930               -0.25                0.25
               20501          1190616952               -0.25                0.25
               20501          1190616975               -0.25                0.25
               20501          1190616998               -0.25                0.25
               20501          1190617021               -0.25                0.25
               20501          1190617066               -0.25                0.25
               20501          1190617089               -0.25                0.25
               20501          1190617112               -0.25                0.25
               20501          1190617158               -0.25                0.25
               20501          1190617180               -0.25                0.25
               20501          1190617226               -0.25                0.25
               20501          1190617249               -0.25                0.25
               20501          1190617272               -0.25                0.25
               20501          1190617294               -0.25                0.25
               20501          1190617317               -0.25                0.25
               20501          1190617386               -0.25                0.25
               20501          1190617408               -0.25                0.25
               20501          1190617477               -0.25                0.25
               20501          1190617522               -0.25                0.25
               20501          1190617545               -0.25                0.25
               20501          1190617614               -0.25                0.25
               20501          1190617659               -0.25                0.25
               20501          1190617728               -0.25                0.25
               20501          1190617796               -0.25                0.25
               20501          1190617842               -0.25                0.25
               20501          1190617864               -0.25                0.25
               20501          1190617887               -0.25                0.25
               20501          1190617910               -0.25                0.25
               20501          1190617933               -0.25                0.25
               20501          1190618001               -0.25                0.25
               20501          1190618047               -0.25                0.25
               20501          1190618070               -0.25                0.25
               20501          1190618092               -0.25                0.25
               20501          1190618115               -0.25                0.25
               20501          1190618161               -0.25                0.25
               20501          1190618206               -0.25                0.25
               20501          1190618298               -0.25                0.25
               20501          1190618343               -0.25                0.25
               20501          1190618412               -0.25                0.25
               20501          1190618434               -0.25                0.25
               20501          1190618548               -0.25                0.25
               20501          1190618571               -0.25                0.25
               20501          1190618594               -0.25                0.25
               20501          1190618662               -0.25                0.25
               20501          1190618685               -0.25                0.25
               20501          1190618708               -0.25                0.25
               20501          1190618731               -0.25                0.25
               20501          1190618754               -0.25                0.25
               20501          1190618845               -0.25                0.25
               20501          1190618868               -0.25                0.25
               20501          1190618890               -0.25                0.25
               20501          1190618913               -0.25                0.25
               20501          1190618959               -0.25                0.25
               20501          1190618982               -0.25                0.25
               20501          1190619027               -0.25                0.25
               20501          1190619050               -0.25                0.25
               20501          1190619073               -0.25                0.25
               20501          1190619096               -0.25                0.25
               20501          1190619118               -0.25                0.25
               20501          1190619232               -0.25                0.25
               20501          1190619255               -0.25                0.25
               20501          1190619301               -0.25                0.25
               20501          1190619324               -0.25                0.25
               20501          1190619346               -0.25                0.25
               20501          1190619369               -0.25                0.25
               20501          1190619392               -0.25                0.25
               20501          1190619438               -0.25                0.25
               20501          1190619460               -0.25                0.25
               20501          1190619506               -0.25                0.25
               20501          1190619529               -0.25                0.25
               20501          1190619552               -0.25                0.25
               20501          1190619574               -0.25                0.25
               20501          1190619620               -0.25                0.25
               20501          1190619643               -0.25                0.25
               20501          1190619666               -0.25                0.25
               20501          1190619688               -0.25                0.25
               20501          1190619711               -0.25                0.25
               20501          1190619734               -0.25                0.25
               20501          1190619780               -0.25                0.25
               20501          1190619802               -0.25                0.25
               20501          1190619825               -0.25                0.25
               20501          1190619848               -0.25                0.25
               20501          1190619894               -0.25                0.25
               20501          1190619916               -0.25                0.25
               20501          1190619939               -0.25                0.25
               20501          1190619985               -0.25                0.25
               20501          1190620008               -0.25                0.25
               20501          1190620053               -0.25                0.25
               20501          1190620076               -0.25                0.25
               20501          1190620099               -0.25                0.25
               20501          1190620122               -0.25                0.25
               20501          1190620144               -0.25                0.25
               20501          1190620167               -0.25                0.25
               20501          1190620190               -0.25                0.25
               20501          1190620213               -0.25                0.25
               20501          1190620236               -0.25                0.25
               20501          1190620258               -0.25                0.25
               20501          1190620281               -0.25                0.25
               20501          1190620304               -0.25                0.25
               20501          1190620327               -0.25                0.25
               20501          1190620372               -0.25                0.25
               20501          1190620395               -0.25                0.25
               20501          1190620418               -0.25                0.25
               20501          1190620509               -0.25                0.25
               20501          1190620555               -0.25                0.25
               20501          1190620600               -0.25                0.25
               20501          1190620623               -0.25                0.25
               20501          1190620646               -0.25                0.25
               20501          1190620692               -0.25                0.25
               20501          1190620714               -0.25                0.25
               20501          1190620737               -0.25                0.25
               20501          1190620783               -0.25                0.25
               20501          1190620806               -0.25                0.25
               20501          1190620851               -0.25                0.25
               20501          1190620874               -0.25                0.25
               20501          1190620897               -0.25                0.25
               20501          1190620920               -0.25                0.25
               20501          1190620942               -0.25                0.25
               20501          1190620965               -0.25                0.25
               20501          1190621011               -0.25                0.25
               20501          1190621079               -0.25                0.25
               20501          1190621102               -0.25                0.25
               20501          1190621193               -0.25                0.25
               20501          1190621239               -0.25                0.25
               20501          1190621262               -0.25                0.25
               20501          1190621330               -0.25                0.25
               20501          1190621398               -0.25                0.25
               20501          1190621444               -0.25                0.25
               20501          1190621467               -0.25                0.25
               20501          1190621490               -0.25                0.25
               20501          1190621512               -0.25                0.25
               20501          1190621604               -0.25                0.25
               20501          1190621649               -0.25                0.25
               20501          1190621695               -0.25                0.25
               20501          1190621718               -0.25                0.25
               20501          1190621763               -0.25                0.25
               20501          1190621809               -0.25                0.25
               20501          1190621854               -0.25                0.25
               20501          1190621900               -0.25                0.25
               20501          1190621991               -0.25                0.25
               20501          1190622014               -0.25                0.25
               20501          1190622060               -0.25                0.25
               20501          1190622082               -0.25                0.25
               20501          1190622242               -0.25                0.25
               20501          1190622265               -0.25                0.25
               20501          1190622310               -0.25                0.25
               20501          1190622356               -0.25                0.25
               20501          1190622379               -0.25                0.25
               20501          1190622402               -0.25                0.25
               20501          1190622424               -0.25                0.25
               20501          1190622538               -0.25                0.25
               20501          1190622561               -0.25                0.25
               20501          1190622584               -0.25                0.25
               20501          1190622630               -0.25                0.25
               20501          1190622675               -0.25                0.25
               20501          1190622698               -0.25                0.25
               20501          1190622721               -0.25                0.25
               20501          1190622744               -0.25                0.25
               20501          1190622766               -0.25                0.25
               20501          1190622789               -0.25                0.25
               20501          1190622835               -0.25                0.25
               20501          1190622858               -0.25                0.25
               20501          1190622926               -0.25                0.25
               20501          1190622972               -0.25                0.25
               20501          1190622994               -0.25                0.25
               20501          1190623017               -0.25                0.25
               20501          1190623040               -0.25                0.25
               20501          1190623063               -0.25                0.25
               20501          1190623108               -0.25                0.25
               20501          1190623154               -0.25                0.25
               20501          1190623177               -0.25                0.25
               20501          1190623222               -0.25                0.25
               20501          1190623291               -0.25                0.25
               20501          1190623314               -0.25                0.25
               20501          1190623336               -0.25                0.25
               20501          1190623359               -0.25                0.25
               20501          1190623382               -0.25                0.25
               20501          1190623405               -0.25                0.25
               20501          1190623428               -0.25                0.25
               20501          1190623450               -0.25                0.25
               20501          1190623473               -0.25                0.25
               20501          1190623496               -0.25                0.25
               20501          1190623542               -0.25                0.25
               20501          1190623564               -0.25                0.25
               20501          1190623587               -0.25                0.25
               20501          1190623633               -0.25                0.25
               20501          1190623656               -0.25                0.25
               20501          1190623678               -0.25                0.25
               20501          1190623724               -0.25                0.25
               20501          1190623770               -0.25                0.25
               20501          1190623815               -0.25                0.25
               20501          1190623838               -0.25                0.25
               20501          1190623861               -0.25                0.25
               20501          1190623884               -0.25                0.25
               20501          1190623906               -0.25                0.25
               20501          1190623929               -0.25                0.25
               20501          1190623952               -0.25                0.25
               20501          1190623975               -0.25                0.25
               20501          1190623998               -0.25                0.25
               20501          1190624020               -0.25                0.25
               20501          1190624066               -0.25                0.25
               20501          1190624089               -0.25                0.25
               20501          1190624112               -0.25                0.25
               20501          1190624134               -0.25                0.25
               20501          1190624157               -0.25                0.25
               20501          1190624180               -0.25                0.25
               20501          1190624203               -0.25                0.25
               20501          1190624317               -0.25                0.25
               20501          1190624340               -0.25                0.25
               20501          1190624362               -0.25                0.25
               20501          1190624864               -0.25                0.25
               20501          1190624932               -0.25                0.25
               20501          1190624955               -0.25                0.25
               20501          1190624978               -0.25                0.25
               20501          1190625001               -0.25                0.25
               20501          1190625069               -0.25                0.25
               20501          1190625115               -0.25                0.25
               20501          1190625160               -0.25                0.25
               20501          1190625229               -0.25                0.25
