             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval     err_hshape
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.28421        0.00410        0.19505        0.00048        0.90196        0.01415     1937.11410      141.74493     1859.00000    1.25143e+03    6.41582e+03    1.25143e+03    2.09361e-05    7.29017e-06    2.01442e+03    3.37008e-05    1.17350e-05    6.98965e+02    1.16935e-05    4.07181e-06    2.77740e+03    4.64651e-05    1.61797e-05    4.43362e+02    7.41733e-06    2.58280e-06    9.11949e+02    1.52567e-05    5.31254e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.64893e+04    9.23399e+02    3.75241e+02    9.38103e+01    4.34681e+02    8.72052e+02    9.03126e+02
  mc.p5.hnu.251.nodk            251        0.06300        0.25100        0.28461        0.00410        0.19660        0.00048        0.90467        0.01393     1946.18471      129.84423     1870.00000    1.14688e+03    5.83361e+03    1.14688e+03    1.91870e-05    6.66950e-06    1.84793e+03    3.09153e-05    1.07463e-05    6.42029e+02    1.07410e-05    3.73362e-06    2.54897e+03    4.26436e-05    1.48231e-05    4.05376e+02    6.78184e-06    2.35740e-06    8.21795e+02    1.37484e-05    4.77902e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.32091e+04    8.97720e+02    3.78763e+02    9.46909e+01    4.68117e+02    8.78364e+02    9.32789e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.28656        0.00410        0.19809        0.00048        0.90095        0.01399     1939.02230      129.20230     1869.00000    1.13380e+03    5.72369e+03    1.13380e+03    1.89683e-05    6.58243e-06    1.82452e+03    3.05237e-05    1.05924e-05    6.33089e+02    1.05914e-05    3.67546e-06    2.52030e+03    4.21639e-05    1.46319e-05    4.01474e+02    6.71656e-06    2.33080e-06    8.32253e+02    1.39234e-05    4.83173e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31120e+04    9.06645e+02    3.75981e+02    9.39952e+01    4.34595e+02    8.42851e+02    9.27132e+02
  mc.p5.hnu.253.nodk            253        0.06401        0.25300        0.28624        0.00410        0.19838        0.00048        0.90421        0.01384     1953.59495      129.79263     1876.00000    1.13434e+03    5.71816e+03    1.13434e+03    1.89773e-05    6.57496e-06    1.82911e+03    3.06006e-05    1.06020e-05    6.35125e+02    1.06255e-05    3.68135e-06    2.52388e+03    4.22238e-05    1.46291e-05    4.02311e+02    6.73056e-06    2.33190e-06    8.09412e+02    1.35413e-05    4.69157e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.33099e+04    8.94166e+02    3.81653e+02    9.54133e+01    4.21334e+02    8.41312e+02    9.02388e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.28625        0.00410        0.19872        0.00048        0.90613        0.01372     1972.20927      118.69360     1890.00000    1.04849e+03    5.27630e+03    1.04849e+03    1.75410e-05    6.06797e-06    1.68669e+03    2.82179e-05    9.76141e-06    5.85811e+02    9.80047e-06    3.39027e-06    2.32994e+03    3.89793e-05    1.34841e-05    3.70494e+02    6.19826e-06    2.14416e-06    7.12012e+02    1.19118e-05    4.12064e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.05395e+04    8.92347e+02    3.88961e+02    9.72402e+01    4.16434e+02    8.45840e+02    9.07837e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.28639        0.00410        0.19949        0.00048        0.90503        0.01358     1985.42238      119.95914     1852.00000    1.05355e+03    5.28122e+03    1.05355e+03    1.76256e-05    6.08822e-06    1.69933e+03    2.84294e-05    9.82005e-06    5.89334e+02    9.85940e-06    3.40562e-06    2.34510e+03    3.92329e-05    1.35518e-05    3.73008e+02    6.24033e-06    2.15553e-06    5.77410e+02    9.65991e-06    3.33671e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.06812e+04    8.88072e+02    3.94190e+02    9.85476e+01    4.82999e+02    8.61559e+02    9.83622e+02
  mc.p5.hnu.256.nodk            256        0.06554        0.25600        0.28759        0.00410        0.20012        0.00048        0.91501        0.01277     2012.61428      119.25098     1865.00000    1.04472e+03    5.22048e+03    1.04472e+03    1.74779e-05    6.02866e-06    1.68848e+03    2.82478e-05    9.74356e-06    5.85528e+02    9.79574e-06    3.37886e-06    2.32720e+03    3.89335e-05    1.34294e-05    3.69863e+02    6.18771e-06    2.13433e-06    5.40048e+02    9.03485e-06    3.11640e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.06285e+04    7.88509e+02    4.05062e+02    1.01265e+02    4.75095e+02    8.57288e+02    9.65030e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.28775        0.00410        0.20146        0.00048        0.91697        0.01278     2030.74905      119.71025     1875.00000    1.04118e+03    5.16821e+03    1.04118e+03    1.74187e-05    6.00019e-06    1.68065e+03    2.81168e-05    9.68533e-06    5.82415e+02    9.74365e-06    3.35637e-06    2.32011e+03    3.88148e-05    1.33704e-05    3.68719e+02    6.16857e-06    2.12487e-06    5.22911e+02    8.74817e-06    3.01346e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.08209e+04    8.00852e+02    4.12394e+02    1.03099e+02    4.67098e+02    8.16867e+02    9.09285e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.28927        0.00410        0.20277        0.00048        0.90909        0.01317     2026.87541      121.04060     1875.00000    1.04379e+03    5.14759e+03    1.04379e+03    1.74623e-05    6.00751e-06    1.68900e+03    2.82565e-05    9.72101e-06    5.84494e+02    9.77842e-06    3.36404e-06    2.32924e+03    3.89675e-05    1.34059e-05    3.70272e+02    6.19456e-06    2.13110e-06    5.35536e+02    8.95937e-06    3.08227e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.07797e+04    8.62155e+02    4.10822e+02    1.02706e+02    5.30252e+02    9.28877e+02    1.03631e+03
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.28846        0.00410        0.20271        0.00048        0.90893        0.01305     2047.48419      115.99119     1888.00000    1.00847e+03    4.97497e+03    1.00847e+03    1.68715e-05    5.79721e-06    1.62425e+03    2.71732e-05    9.33702e-06    5.62986e+02    9.41860e-06    3.23633e-06    2.24498e+03    3.75578e-05    1.29053e-05    3.57095e+02    5.97411e-06    2.05277e-06    4.90304e+02    8.20266e-06    2.81852e-06    0.00000e+00    0.00000e+00    0.00000e+00    9.33043e+03    8.64591e+02    4.19219e+02    1.04805e+02    5.64573e+02    9.95609e+02    1.17473e+03
