             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2     comb_sigma    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.28406        0.00410        0.19501        0.00048        0.89980        0.01444      939.14289     1909.03440      141.85529     1825.00000    1.25224e+03    6.42159e+03    2.44194e+02    2.09497e-05    7.29492e-06    1.48432e+02    3.93018e+02    3.37174e-05    1.17408e-05    1.36388e+02    1.17009e-05    4.07438e-06    5.41838e+02    4.64849e-05    1.61866e-05    8.65074e+01    7.42157e-06    2.58427e-06    6.91666e+02    5.93388e-05    2.06624e-05    6.13490e+01    5.26321e-06    1.83271e-06    1.73813e+02    1.49116e-05    5.19238e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.69550e+03    1.60147e+04    3.64441e+02    9.11103e+01    3.83682e+02    8.10988e+02    1.07459e-03    7.62469e+02
  mc.p5.hnu.251.nodk            251        0.06300        0.25100        0.28447        0.00410        0.19654        0.00048        0.90297        0.01416      907.91226     1921.04947      129.91920     1832.00000    1.14770e+03    5.83940e+03    2.25575e+02    1.92008e-05    6.67429e-06    1.37113e+02    3.63401e+02    3.09324e-05    1.07523e-05    1.25774e+02    1.07058e-05    3.72139e-06    5.01225e+02    4.26639e-05    1.48302e-05    7.97041e+01    6.78435e-06    2.35828e-06    6.39045e+02    5.43951e-05    1.89080e-05    5.66024e+01    4.81795e-06    1.67475e-06    1.53027e+02    1.30255e-05    4.52774e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.50104e+03    1.28701e+04    3.69043e+02    9.22608e+01    4.10491e+02    8.32352e+02    1.10135e-03    8.03726e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.28640        0.00410        0.19803        0.00048        0.89922        0.01422      915.56679     1913.22134      129.38254     1833.00000    1.13376e+03    5.72512e+03    2.24520e+02    1.89674e-05    6.58215e-06    1.36576e+02    3.61342e+02    3.05261e-05    1.05933e-05    1.25418e+02    1.05953e-05    3.67682e-06    4.99168e+02    4.21697e-05    1.46339e-05    7.95603e+01    6.72125e-06    2.33243e-06    6.35987e+02    5.37282e-05    1.86449e-05    5.64033e+01    4.76495e-06    1.65355e-06    1.57963e+02    1.33447e-05    4.63091e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.54755e+03    1.27654e+04    3.66042e+02    9.15104e+01    3.73994e+02    7.96853e+02    6.19573e-04    7.98475e+02
  mc.p5.hnu.253.nodk            253        0.06401        0.25300        0.28608        0.00410        0.19831        0.00048        0.90272        0.01404      901.76445     1930.15084      130.09317     1841.00000    1.13864e+03    5.74184e+03    2.25799e+02    1.90492e-05    6.59986e-06    1.37311e+02    3.63625e+02    3.06766e-05    1.06284e-05    1.26004e+02    1.06301e-05    3.68296e-06    5.01447e+02    4.23037e-05    1.46567e-05    7.98883e+01    6.73964e-06    2.33505e-06    6.40272e+02    5.40154e-05    1.87144e-05    5.67470e+01    4.78736e-06    1.65865e-06    1.53266e+02    1.29300e-05    4.47979e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.49843e+03    1.29923e+04    3.72548e+02    9.31371e+01    3.73179e+02    8.00280e+02    6.19573e-04    7.94328e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.28609        0.00410        0.19868        0.00048        0.90504        0.01388      886.72181     1942.16604      117.81686     1854.00000    1.04114e+03    5.24036e+03    2.06851e+02    1.74180e-05    6.02541e-06    1.25789e+02    3.32672e+02    2.80128e-05    9.69048e-06    1.15591e+02    9.73341e-06    3.36708e-06    4.59497e+02    3.86922e-05    1.33848e-05    7.31065e+01    6.15597e-06    2.12953e-06    5.86319e+02    4.93713e-05    1.70790e-05    5.18454e+01    4.36567e-06    1.51022e-06    1.36329e+02    1.14797e-05    3.97117e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.35411e+03    1.02209e+04    3.77201e+02    9.43002e+01    3.41569e+02    7.64404e+02    6.37718e-04    7.28376e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.28623        0.00410        0.19943        0.00048        0.90359        0.01378      888.47141     1954.66632      119.29688     1817.00000    1.04652e+03    5.24748e+03    2.08709e+02    1.75079e-05    6.04757e-06    1.27226e+02    3.36533e+02    2.82307e-05    9.75142e-06    1.16887e+02    9.80528e-06    3.38693e-06    4.65362e+02    3.90378e-05    1.34844e-05    7.40362e+01    6.21067e-06    2.14528e-06    5.93181e+02    4.97601e-05    1.71881e-05    5.24247e+01    4.39774e-06    1.51906e-06    1.12203e+02    9.41232e-06    3.25119e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.37873e+03    1.03528e+04    3.82072e+02    9.55180e+01    4.08742e+02    7.90388e+02    1.54583e-03    8.23452e+02
  mc.p5.hnu.256.nodk            256        0.06554        0.25600        0.28740        0.00410        0.20006        0.00048        0.91544        0.01285      777.38721     1986.06024      118.09314     1831.00000    1.03806e+03    5.18883e+03    2.07671e+02    1.73665e-05    5.99025e-06    1.26222e+02    3.34496e+02    2.79722e-05    9.64848e-06    1.15771e+02    9.68133e-06    3.33939e-06    4.61318e+02    3.85777e-05    1.33066e-05    7.33575e+01    6.13452e-06    2.11599e-06    5.88137e+02    4.91829e-05    1.69647e-05    5.20804e+01    4.35521e-06    1.50225e-06    1.03390e+02    8.64596e-06    2.98226e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.15191e+03    1.03499e+04    3.94444e+02    9.86109e+01    3.95213e+02    7.75884e+02    2.03435e-03    7.79986e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.28756        0.00410        0.20140        0.00048        0.91729        0.01289      789.50105     2000.19013      118.31659     1839.00000    1.03267e+03    5.12753e+03    2.07977e+02    1.72763e-05    5.95112e-06    1.26487e+02    3.34800e+02    2.78113e-05    9.58007e-06    1.16082e+02    9.64271e-06    3.32160e-06    4.62627e+02    3.84297e-05    1.32378e-05    7.36057e+01    6.11431e-06    2.10618e-06    5.89444e+02    4.89642e-05    1.68666e-05    5.21511e+01    4.33211e-06    1.49227e-06    1.01299e+02    8.41477e-06    2.89861e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.14882e+03    1.04977e+04    4.00076e+02    1.00019e+02    3.86739e+02    7.35479e+02    1.46216e-03    7.29954e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.28910        0.00410        0.20271        0.00048        0.90909        0.01331      847.47515     1987.95164      118.56998     1841.00000    1.02373e+03    5.05019e+03    2.07521e+02    1.71267e-05    5.89206e-06    1.26676e+02    3.35348e+02    2.76763e-05    9.52139e-06    1.16461e+02    9.61155e-06    3.30663e-06    4.63174e+02    3.82257e-05    1.31507e-05    7.36277e+01    6.07650e-06    2.09048e-06    5.89990e+02    4.86919e-05    1.67513e-05    5.22051e+01    4.30849e-06    1.48224e-06    1.07367e+02    8.86096e-06    3.04841e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.27789e+03    1.03697e+04    3.95195e+02    9.87988e+01    3.89875e+02    7.90299e+02    1.46216e-03    7.37122e+02
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.28826        0.00410        0.20265        0.00048        0.90876        0.01322      858.17865     2014.45897      114.26269     1857.00000    9.94771e+02    4.90889e+03    2.01587e+02    1.66423e-05    5.71846e-06    1.22762e+02    3.25414e+02    2.68649e-05    9.23108e-06    1.12647e+02    9.29973e-06    3.19549e-06    4.48232e+02    3.70044e-05    1.27151e-05    7.12552e+01    5.88256e-06    2.02131e-06    5.72054e+02    4.72266e-05    1.62276e-05    5.06607e+01    4.18236e-06    1.43710e-06    9.79087e+01    8.08297e-06    2.77740e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.26343e+03    9.03187e+03    4.05804e+02    1.01451e+02    4.53360e+02    8.82897e+02    9.80861e-04    9.17149e+02
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.28931        0.00390        0.19788        0.00048        0.90485        0.01361      832.18670     1918.16256      109.47558     1780.00000    9.79961e+02    4.95241e+03    1.93911e+02    1.63945e-05    5.62689e-06    1.17911e+02    3.12737e+02    2.64409e-05    9.07501e-06    1.08381e+02    9.16322e-06    3.14499e-06    4.30555e+02    3.64020e-05    1.24938e-05    6.85366e+01    5.79454e-06    1.98879e-06    5.49376e+02    4.64479e-05    1.59418e-05    4.85902e+01    4.10814e-06    1.40999e-06    9.93215e+01    8.39731e-06    2.88211e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.23978e+03    8.18901e+03    3.67935e+02    9.19837e+01    4.11065e+02    8.51350e+02    9.80861e-04    8.33776e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29015        0.00390        0.19902        0.00048        0.89818        0.01380      873.31963     1922.82935      106.16216     1812.00000    9.45816e+02    4.75248e+03    1.88232e+02    1.58233e-05    5.42500e-06    1.14862e+02    3.04057e+02    2.55599e-05    8.76319e-06    1.05222e+02    8.84526e-06    3.03260e-06    4.19882e+02    3.52964e-05    1.21014e-05    6.68018e+01    5.61553e-06    1.92528e-06    5.35703e+02    4.50326e-05    1.54394e-05    4.73378e+01    3.97934e-06    1.36432e-06    1.07673e+02    9.05125e-06    3.10322e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.30819e+03    7.28271e+03    3.69727e+02    9.24318e+01    4.71939e+02    8.69894e+02    1.56053e-03    8.75505e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29038        0.00390        0.19948        0.00048        0.90698        0.01318      799.70245     1945.75594      106.28083     1794.00000    9.45699e+02    4.74079e+03    1.88649e+02    1.58213e-05    5.41888e-06    1.15071e+02    3.04474e+02    2.55351e-05    8.74589e-06    1.05554e+02    8.85238e-06    3.03199e-06    4.20299e+02    3.52489e-05    1.20729e-05    6.68105e+01    5.60314e-06    1.91911e-06    5.36118e+02    4.49622e-05    1.53998e-05    4.73908e+01    3.97448e-06    1.36128e-06    9.01524e+01    7.56074e-06    2.58959e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.16578e+03    7.45742e+03    3.78597e+02    9.46492e+01    4.58706e+02    8.74592e+02    9.46662e-04    8.65870e+02
