             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape        err_km3
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.28406        0.00410        0.19803        0.00048        0.89824        0.01435      969.50887     1948.58347      145.14500     1867.00000    2.49032e+02    1.25753e+03    2.49032e+02    2.10382e-05    7.32572e-06    8.44796e-08    2.94167e-08    1.51709e+02   -5.37763e-01    4.01858e+02    3.39488e-05    1.18213e-05    1.39287e+02    1.17669e-05    4.09736e-06    5.54683e+02    4.68594e-05    1.63170e-05    8.84387e+01    7.47127e-06    2.60158e-06    7.06500e+02    5.96849e-05    2.07829e-05    6.27628e+01    5.30218e-06    1.84628e-06    1.80612e+02    1.52581e-05    5.31303e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.77971e+03    1.66852e+04    3.79698e+02    9.49244e+01    3.89000e+02    8.21283e+02    1.07459e-03    7.88933e+02    1.28369e+02
  mc.p5.hnu.251.nodk            251        0.06300        0.25100        0.28447        0.00410        0.19977        0.00048        0.90135        0.01408      944.92816     1967.54269      133.74315     1878.00000    2.31317e+02    1.15793e+03    2.31317e+02    1.93719e-05    6.73377e-06    8.37461e-08    2.91106e-08    1.40907e+02   -6.35474e-01    3.73144e+02    3.12494e-05    1.08624e-05    1.29425e+02    1.08388e-05    3.76763e-06    5.14969e+02    4.31266e-05    1.49910e-05    8.19586e+01    6.86371e-06    2.38586e-06    6.56790e+02    5.50036e-05    1.91195e-05    5.81836e+01    4.87265e-06    1.69376e-06    1.58531e+02    1.32764e-05    4.61494e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.58907e+03    1.35006e+04    3.87122e+02    9.67806e+01    4.41275e+02    8.68038e+02    1.10135e-03    8.70818e+02    1.33534e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.28640        0.00410        0.20102        0.00048        0.89943        0.01405      940.16387     1962.81100      133.12525     1873.00000    2.30056e+02    1.14446e+03    2.30056e+02    1.91464e-05    6.64426e-06    8.32250e-08    2.88810e-08    1.40304e+02   -6.40118e-01    3.71886e+02    3.09503e-05    1.07405e-05    1.28930e+02    1.07302e-05    3.72362e-06    5.12708e+02    4.26702e-05    1.48075e-05    8.17238e+01    6.80147e-06    2.36027e-06    6.53527e+02    5.43898e-05    1.88745e-05    5.79205e+01    4.82044e-06    1.67280e-06    1.57433e+02    1.31023e-05    4.54681e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.60095e+03    1.34357e+04    3.85263e+02    9.63157e+01    3.94381e+02    8.27009e+02    6.19573e-04    8.45031e+02    1.37644e+02
  mc.p5.hnu.253.nodk            253        0.06401        0.25300        0.28608        0.00410        0.20133        0.00049        0.90000        0.01398      939.99298     1974.45581      134.11456     1893.00000    2.32024e+02    1.15245e+03    2.32024e+02    1.92802e-05    6.67992e-06    8.30959e-08    2.87898e-08    1.41284e+02   -5.76539e-01    3.73850e+02    3.10654e-05    1.07631e-05    1.29998e+02    1.08023e-05    3.74260e-06    5.16677e+02    4.29338e-05    1.48750e-05    8.21444e+01    6.82586e-06    2.36492e-06    6.58497e+02    5.47184e-05    1.89580e-05    5.83692e+01    4.85024e-06    1.68044e-06    1.64444e+02    1.36646e-05    4.73431e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.60522e+03    1.35956e+04    3.89848e+02    9.74619e+01    4.08089e+02    8.51094e+02    6.19573e-04    8.96999e+02    1.42372e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.28609        0.00410        0.20185        0.00048        0.90377        0.01375      918.75064     1991.66121      134.23051     1907.00000    2.32099e+02    1.14986e+03    2.32099e+02    1.92369e-05    6.65461e-06    8.28821e-08    2.86714e-08    1.41455e+02   -5.98503e-01    3.74929e+02    3.10749e-05    1.07497e-05    1.30140e+02    1.07862e-05    3.73128e-06    5.16751e+02    4.28293e-05    1.48160e-05    8.22771e+01    6.81929e-06    2.35900e-06    6.59575e+02    5.46669e-05    1.89109e-05    5.84801e+01    4.84695e-06    1.67670e-06    1.62567e+02    1.34739e-05    4.66103e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.53558e+03    1.38336e+04    3.96671e+02    9.91679e+01    3.88115e+02    8.11013e+02    6.37718e-04    8.06913e+02    1.46768e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.28623        0.00410        0.20241        0.00048        0.90353        0.01365      920.92580     2009.32862      123.66290     1873.00000    2.16135e+02    1.06780e+03    2.16135e+02    1.78640e-05    6.17058e-06    8.26523e-08    2.85496e-08    1.31536e+02   -1.03643e+00    3.47957e+02    2.87594e-05    9.93405e-06    1.20700e+02    9.97611e-06    3.44593e-06    4.80784e+02    3.97379e-05    1.37262e-05    7.65628e+01    6.32809e-06    2.18584e-06    6.12601e+02    5.06329e-05    1.74895e-05    5.42690e+01    4.48545e-06    1.54936e-06    1.18794e+02    9.81861e-06    3.39153e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.44824e+03    1.09400e+04    4.03740e+02    1.00935e+02    4.66084e+02    8.47172e+02    1.54583e-03    9.35584e+02    1.50774e+02
  mc.p5.hnu.256.nodk            256        0.06554        0.25600        0.28740        0.00410        0.20304        0.00048        0.91532        0.01272      796.10954     2029.95865      121.08997     1871.00000    2.11665e+02    1.04249e+03    2.11665e+02    1.74406e-05    6.01579e-06    8.23968e-08    2.84212e-08    1.29200e+02   -1.23033e+00    3.42494e+02    2.82204e-05    9.73410e-06    1.18561e+02    9.76905e-06    3.36965e-06    4.72316e+02    3.89174e-05    1.34238e-05    7.51230e+01    6.18990e-06    2.13509e-06    6.02136e+02    4.96140e-05    1.71134e-05    5.33362e+01    4.39473e-06    1.51588e-06    1.05745e+02    8.71305e-06    3.00540e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.18611e+03    1.08125e+04    4.12073e+02    1.03018e+02    4.01367e+02    7.86040e+02    2.03435e-03    8.06389e+02    1.55254e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.28756        0.00410        0.20436        0.00048        0.91575        0.01281      817.21548     2044.14761      121.62006     1879.00000    2.13386e+02    1.04419e+03    2.13386e+02    1.74690e-05    6.01749e-06    8.18654e-08    2.82000e-08    1.29752e+02   -1.27279e+00    3.43207e+02    2.80968e-05    9.67844e-06    1.19246e+02    9.76214e-06    3.36274e-06    4.74033e+02    3.88069e-05    1.33677e-05    7.54285e+01    6.17498e-06    2.12708e-06    6.04855e+02    4.95167e-05    1.70569e-05    5.35025e+01    4.38000e-06    1.50877e-06    1.04009e+02    8.51472e-06    2.93304e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.20968e+03    1.09642e+04    4.17854e+02    1.04463e+02    4.20951e+02    7.51557e+02    1.46216e-03    7.62535e+02    1.60184e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.28910        0.00410        0.20597        0.00048        0.90926        0.01315      866.49946     2035.86213      122.04189     1887.00000    2.13265e+02    1.03544e+03    2.13265e+02    1.73227e-05    5.95948e-06    8.12261e-08    2.79440e-08    1.30116e+02   -1.14408e+00    3.44090e+02    2.79490e-05    9.61523e-06    1.19412e+02    9.69936e-06    3.33684e-06    4.75919e+02    3.86570e-05    1.32991e-05    7.56444e+01    6.14430e-06    2.11380e-06    6.06739e+02    4.92830e-05    1.69547e-05    5.37007e+01    4.36190e-06    1.50061e-06    1.11190e+02    9.03153e-06    3.10709e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31982e+03    1.08755e+04    4.14473e+02    1.03618e+02    4.12046e+02    8.20933e+02    1.46216e-03    7.82600e+02    1.65227e+02
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.28826        0.00410        0.20599        0.00048        0.90476        0.01321      898.79382     2053.19131      117.47331     1905.00000    2.07026e+02    1.00504e+03    2.07026e+02    1.68141e-05    5.77752e-06    8.12173e-08    2.79072e-08    1.25909e+02   -1.17697e+00    3.33856e+02    2.71149e-05    9.31697e-06    1.15755e+02    9.40133e-06    3.23040e-06    4.60680e+02    3.74152e-05    1.28563e-05    7.32347e+01    5.94793e-06    2.04377e-06    5.86495e+02    4.76335e-05    1.63674e-05    5.19463e+01    4.21894e-06    1.44967e-06    1.05816e+02    8.59409e-06    2.95302e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.36399e+03    9.38252e+03    4.21559e+02    1.05390e+02    4.77853e+02    9.12894e+02    9.80861e-04    9.66729e+02    1.69042e+02
