             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape        err_km3
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.28406        0.00410        0.19803        0.00048        0.89900        0.02500     2941.26717     1950.23489      152.12377     1867.00000    2.60387e+02    1.31487e+03    2.60387e+02    2.19974e-05    7.65974e-06    8.44796e-08    2.94167e-08    1.58404e+02   -5.25459e-01    4.19212e+02    3.54149e-05    1.23319e-05    1.45493e+02    1.22912e-05    4.27994e-06    5.79039e+02    4.89170e-05    1.70334e-05    9.23178e+01    7.79897e-06    2.71569e-06    7.37858e+02    6.23340e-05    2.17054e-05    6.56292e+01    5.54433e-06    1.93060e-06    1.89950e+02    1.60469e-05    5.58770e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.82518e+03    1.67134e+04    3.80342e+02    9.50854e+01    3.89000e+02    8.21283e+02    1.07459e-03    7.88933e+02    1.28369e+02
  mc.p5.hnu.251.nodk            251        0.06300        0.25100        0.28447        0.00410        0.19977        0.00048        0.89900        0.02500     2978.08849     1962.40428      141.27517     1878.00000    2.43209e+02    1.21746e+03    2.43209e+02    2.03678e-05    7.07995e-06    8.37461e-08    2.91106e-08    1.48058e+02   -5.70077e-01    3.92035e+02    3.28314e-05    1.14124e-05    1.36169e+02    1.14036e-05    3.96395e-06    5.40858e+02    4.52947e-05    1.57447e-05    8.62635e+01    7.22423e-06    2.51118e-06    6.89682e+02    5.77582e-05    2.00770e-05    6.12580e+01    5.13012e-06    1.78326e-06    1.72982e+02    1.44866e-05    5.03561e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.73346e+03    1.34302e+04    3.85103e+02    9.62758e+01    4.41275e+02    8.68038e+02    1.10135e-03    8.70818e+02    1.33534e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.28640        0.00410        0.20102        0.00048        0.89900        0.02500     2976.47016     1961.87101      140.82521     1873.00000    2.42033e+02    1.20403e+03    2.42033e+02    2.01432e-05    6.99015e-06    8.32250e-08    2.88810e-08    1.47627e+02   -6.01999e-01    3.90860e+02    3.25293e-05    1.12884e-05    1.35820e+02    1.13036e-05    3.92262e-06    5.39685e+02    4.49153e-05    1.55866e-05    8.59347e+01    7.15192e-06    2.48188e-06    6.87506e+02    5.72177e-05    1.98559e-05    6.09831e+01    5.07532e-06    1.76125e-06    1.69326e+02    1.40921e-05    4.89029e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.72369e+03    1.34229e+04    3.84894e+02    9.62234e+01    3.94381e+02    8.27009e+02    6.19573e-04    8.45031e+02    1.37644e+02
  mc.p5.hnu.253.nodk            253        0.06401        0.25300        0.28608        0.00410        0.20133        0.00049        0.89900        0.02500     3008.08312     1972.26197      141.84622     1893.00000    2.44304e+02    1.21345e+03    2.44304e+02    2.03006e-05    7.03345e-06    8.30959e-08    2.87898e-08    1.48636e+02   -5.33263e-01    3.93125e+02    3.26671e-05    1.13180e-05    1.36568e+02    1.13483e-05    3.93178e-06    5.42951e+02    4.51170e-05    1.56314e-05    8.64439e+01    7.18313e-06    2.48870e-06    6.92777e+02    5.75669e-05    1.99449e-05    6.14861e+01    5.10924e-06    1.77017e-06    1.77416e+02    1.47425e-05    5.10777e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.77014e+03    1.35654e+04    3.88982e+02    9.72454e+01    4.08089e+02    8.51094e+02    6.19573e-04    8.96999e+02    1.42372e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.28609        0.00410        0.20185        0.00048        0.89900        0.02500     3035.23039     1981.14158      141.87737     1907.00000    2.44521e+02    1.21140e+03    2.44521e+02    2.02664e-05    7.01076e-06    8.28821e-08    2.86714e-08    1.48695e+02   -4.98614e-01    3.93344e+02    3.26012e-05    1.12777e-05    1.36711e+02    1.13309e-05    3.91969e-06    5.43169e+02    4.50190e-05    1.55734e-05    8.65341e+01    7.17212e-06    2.48105e-06    6.92995e+02    5.74369e-05    1.98691e-05    6.15487e+01    5.10128e-06    1.76469e-06    1.81123e+02    1.50118e-05    5.19304e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.79790e+03    1.36879e+04    3.92492e+02    9.81230e+01    3.88115e+02    8.11013e+02    6.37718e-04    8.06913e+02    1.46768e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.28623        0.00410        0.20241        0.00048        0.89900        0.02500     3091.01823     1999.26548      132.21127     1873.00000    2.29396e+02    1.13332e+03    2.29396e+02    1.89601e-05    6.54918e-06    8.26523e-08    2.85496e-08    1.39567e+02   -9.04691e-01    3.69219e+02    3.05168e-05    1.05411e-05    1.28160e+02    1.05927e-05    3.65891e-06    5.10046e+02    4.21564e-05    1.45616e-05    8.13100e+01    6.72046e-06    2.32137e-06    6.49863e+02    5.37127e-05    1.85534e-05    5.76556e+01    4.76537e-06    1.64605e-06    1.35185e+02    1.11734e-05    3.85949e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.74990e+03    1.08307e+04    3.99706e+02    9.99266e+01    4.66084e+02    8.47172e+02    1.54583e-03    9.35584e+02    1.50774e+02
  mc.p5.hnu.256.nodk            256        0.06554        0.25600        0.28740        0.00410        0.20304        0.00048        0.89900        0.02500     3074.06426     1993.77503      129.53750     1871.00000    2.24692e+02    1.10665e+03    2.24692e+02    1.85139e-05    6.38603e-06    8.23968e-08    2.84212e-08    1.37017e+02   -8.96055e-01    3.62517e+02    2.98702e-05    1.03032e-05    1.25776e+02    1.03635e-05    3.57470e-06    5.00342e+02    4.12266e-05    1.42203e-05    7.96713e+01    6.56466e-06    2.26436e-06    6.38163e+02    5.25826e-05    1.81374e-05    5.65656e+01    4.66083e-06    1.60766e-06    1.33328e+02    1.09858e-05    3.78936e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.70352e+03    1.04305e+04    3.97514e+02    9.93785e+01    4.01367e+02    7.86040e+02    2.03435e-03    8.06389e+02    1.55254e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.28756        0.00410        0.20436        0.00048        0.89900        0.02500     3114.22367     2006.75606      130.05274     1879.00000    2.25590e+02    1.10391e+03    2.25590e+02    1.84681e-05    6.36164e-06    8.18654e-08    2.82000e-08    1.37552e+02   -9.28786e-01    3.64419e+02    2.98333e-05    1.02766e-05    1.26537e+02    1.03590e-05    3.56834e-06    5.02240e+02    4.11161e-05    1.41631e-05    8.00063e+01    6.54975e-06    2.25617e-06    6.41063e+02    5.24809e-05    1.80780e-05    5.68676e+01    4.65549e-06    1.60367e-06    1.31515e+02    1.07665e-05    3.70871e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.74834e+03    1.05668e+04    4.02707e+02    1.00677e+02    4.20951e+02    7.51557e+02    1.46216e-03    7.62535e+02    1.60184e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.28910        0.00410        0.20597        0.00048        0.89900        0.02500     3133.31814     2012.89875      130.73576     1887.00000    2.26547e+02    1.09993e+03    2.26547e+02    1.84015e-05    6.33062e-06    8.12261e-08    2.79440e-08    1.38220e+02   -9.10858e-01    3.66376e+02    2.97593e-05    1.02380e-05    1.26925e+02    1.03096e-05    3.54680e-06    5.05199e+02    4.10353e-05    1.41173e-05    8.04437e+01    6.53412e-06    2.24792e-06    6.44018e+02    5.23111e-05    1.79964e-05    5.71313e+01    4.64055e-06    1.59648e-06    1.33434e+02    1.08384e-05    3.72869e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.77301e+03    1.06316e+04    4.05176e+02    1.01294e+02    4.12046e+02    8.20933e+02    1.46216e-03    7.82600e+02    1.65227e+02
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.28826        0.00410        0.20599        0.00048        0.89900        0.02500     3218.62395     2040.11572      127.02994     1905.00000    2.21747e+02    1.07651e+03    2.21747e+02    1.80097e-05    6.18833e-06    8.12173e-08    2.79072e-08    1.34821e+02   -1.00219e+00    3.56568e+02    2.89595e-05    9.95081e-06    1.23974e+02    1.00688e-05    3.45976e-06    4.92393e+02    3.99909e-05    1.37413e-05    7.84448e+01    6.37108e-06    2.18917e-06    6.28215e+02    5.10220e-05    1.75317e-05    5.56566e+01    4.52028e-06    1.55322e-06    1.23974e+02    1.00688e-05    3.45976e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.82643e+03    9.26340e+03    4.16207e+02    1.04052e+02    4.77853e+02    9.12894e+02    9.80861e-04    9.66729e+02    1.69042e+02
