             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.29153        0.00390        0.19368        0.00047        0.89980        0.01444     1824.30752      193.03185     1806.00000    1.67763e+03    8.66181e+03    2.80662e-05    9.77297e-06    3.17959e-05    1.10717e-05    2.45844e-05    8.56056e-06    3.54390e-05    1.23403e-05    2.15803e-05    7.51450e-06    2.65496e-05    9.24485e-06    0.00000e+00    1.46247e+04    8.57631e+02    3.32810e+02    8.35293e+01    6.08736e+01    4.22848e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.29378        0.00390        0.19659        0.00048        0.90909        0.01377     1837.75564      173.37282     1822.00000    1.49068e+03    7.58256e+03    2.49387e-05    8.65430e-06    2.86148e-05    9.93001e-06    2.15385e-05    7.47436e-06    3.22910e-05    1.12057e-05    1.87166e-05    6.49510e-06    2.36922e-05    8.22174e-06    0.00000e+00    1.17782e+04    7.74950e+02    3.37735e+02    8.47653e+01    4.66893e+01    3.70820e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.29308        0.00390        0.19685        0.00048        0.90711        0.01389     1855.97122      171.55755     1807.00000    1.47339e+03    7.48497e+03    2.46494e-05    8.52696e-06    2.84062e-05    9.82657e-06    2.12587e-05    7.35401e-06    3.20778e-05    1.10967e-05    1.83887e-05    6.36120e-06    2.08988e-05    7.22951e-06    0.00000e+00    9.33377e+03    8.08160e+02    3.44463e+02    8.64540e+01    5.07947e+01    3.88199e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.29348        0.00370        0.19095        0.00047        0.91093        0.01383     1773.88391      166.20013     1727.00000    1.47254e+03    7.71155e+03    2.46352e-05    8.50945e-06    2.84207e-05    9.81704e-06    2.12221e-05    7.33049e-06    3.21181e-05    1.10942e-05    1.83369e-05    6.33390e-06    2.09250e-05    7.22789e-06    0.00000e+00    8.52638e+03    7.25401e+02    3.14666e+02    7.89756e+01    4.56946e+01    3.72369e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.29452        0.00370        0.19269        0.00047        0.92308        0.01301     1825.66507      168.22536     1726.00000    1.47847e+03    7.67294e+03    2.47344e-05    8.52019e-06    2.84857e-05    9.81238e-06    2.12717e-05    7.32742e-06    3.22368e-05    1.11045e-05    1.84127e-05    6.34258e-06    1.75674e-05    6.05139e-06    0.00000e+00    8.74571e+03    6.61827e+02    3.33305e+02    8.36537e+01    4.68150e+01    3.72823e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.29610        0.00370        0.19402        0.00047        0.91165        0.01372     1817.75837      180.97261     1695.00000    1.57259e+03    8.10542e+03    2.63091e-05    9.05104e-06    3.00332e-05    1.03323e-05    2.29280e-05    7.88784e-06    3.37575e-05    1.16135e-05    1.99656e-05    6.86870e-06    1.77912e-05    6.12066e-06    0.00000e+00    8.67012e+03    7.48928e+02    3.30425e+02    8.29307e+01    6.10076e+01    4.29720e+02
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.29509        0.00370        0.19373        0.00047        0.90613        0.01372     1823.26844      181.71078     1719.00000    1.58367e+03    8.17449e+03    2.64943e-05    9.10373e-06    3.01373e-05    1.03555e-05    2.30268e-05    7.91225e-06    3.38669e-05    1.16371e-05    2.00630e-05    6.89387e-06    1.89631e-05    6.51594e-06    0.00000e+00    7.39881e+03    7.62656e+02    3.32431e+02    8.34342e+01    6.77197e+01    4.49186e+02
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.29638        0.00370        0.19585        0.00048        0.89961        0.01417     1824.01553      188.65566     1746.00000    1.62470e+03    8.29573e+03    2.71808e-05    9.32894e-06    3.07839e-05    1.05656e-05    2.37393e-05    8.14778e-06    3.44727e-05    1.18317e-05    2.07800e-05    7.13207e-06    2.12955e-05    7.30901e-06    0.00000e+00    7.40487e+03    8.25393e+02    3.32703e+02    8.35026e+01    7.80008e+01    4.77493e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29695        0.00370        0.19677        0.00048        0.89796        0.01397     1833.35145      183.57940     1769.00000    1.57423e+03    8.00033e+03    2.63364e-05    9.02944e-06    3.00083e-05    1.02883e-05    2.29210e-05    7.85845e-06    3.35949e-05    1.15180e-05    1.99970e-05    6.85596e-06    2.14334e-05    7.34845e-06    0.00000e+00    6.62069e+03    8.13082e+02    3.36118e+02    8.43595e+01    7.29297e+01    4.64535e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29719        0.00370        0.19725        0.00048        0.90182        0.01360     1840.10430      174.31968     1775.00000    1.49677e+03    7.58830e+03    2.50405e-05    8.57651e-06    2.87046e-05    9.83147e-06    2.16422e-05    7.41258e-06    3.22833e-05    1.10572e-05    1.87573e-05    6.42448e-06    2.01043e-05    6.88584e-06    0.00000e+00    6.66955e+03    7.69841e+02    3.38598e+02    8.49821e+01    6.29788e+01    4.32296e+02
