mass U2
178.54921   8.5918515E-7
180.28279   7.9265624E-7
183.74922   6.3944896E-7
186.3461    4.3928435E-7
188.36438   2.9381752E-7
189.5164    2.1299381E-7
191.24667   1.5439265E-7
192.69188   1.502847E-7
194.42657   1.5025388E-7
195.8703    1.3139035E-7
200.20703   1.31323E-7
202.23083   1.3129159E-7
205.99266   1.6702535E-7
208.02162   2.429993E-7
210.33565   2.6326862E-7
212.64894   2.7034477E-7
214.6709    2.3638832E-7
216.4019    1.8078435E-7
219.00284   1.6676866E-7
220.73273   1.17689154E-7
222.46448   9.4961266E-8
224.194 6.5242546E-8
225.92354   4.4824485E-8
228.23387   3.7147814E-8
230.83923   4.7264837E-8
232.86746   6.517568E-8
234.60695   9.23178E-8
235.47983   1.3797649E-7
236.92686   1.5356112E-7
240.1064    1.4549323E-7
241.26213   1.378822E-7
242.99829   1.5345094E-7
245.30789   1.2053476E-7
248.19572   9.4672835E-8
250.50423   6.862073E-8
251.95164   7.84457E-8
254.54778   5.107799E-8
255.41032   3.604959E-8
255.98413   2.613481E-8
257.13654   1.9460153E-8
258.29446   2.1658947E-8
259.74448   2.986857E-8
260.61884   4.969177E-8
261.2037    8.0488114E-8
262.6515    9.451118E-8
265.25168   8.263453E-8
267.56754   1.0236316E-7
269.01495   1.17019304E-7
270.45834   9.962255E-8
272.4781    7.417201E-8
273.92365   7.415933E-8
275.66168   9.436593E-8
277.68768   1.1079929E-7
279.99875   9.687912E-8
280.85727   5.091937E-8
282.0078    3.316056E-8
282.58014   2.159685E-8
284.01797   1.2300603E-8
285.4643    1.2975598E-8
286.62592   1.8879676E-8
287.50064   3.2262815E-8
288.66742   6.8311834E-8
289.5403    1.020976E-7
291.86096   1.7917878E-7
293.30432   1.5254105E-7
293.29843   9.935391E-8
294.16025   6.646244E-8
295.30933   3.8883442E-8
295.88498   3.223085E-8
297.0444    3.9931283E-8
298.49625   6.296199E-8
299.66116   1.16596105E-7

