             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err     ul_acc_sig    ul_orig_sig          ul_br          ul_u2
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.29152        0.00390        0.19368        0.00047        0.90433        0.01340     1865.89160      126.77969    2.19504e+02    1.13334e+03    1.84155e-05    6.41249e-06
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.29348        0.00370        0.19095        0.00047        0.90792        0.01333     1824.06705       98.67948    1.76941e+02    9.26627e+02    1.50566e-05    5.20085e-06
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.29638        0.00370        0.19585        0.00048        0.90193        0.01332     1858.67659       91.99425    1.66592e+02    8.50632e+02    1.38218e-05    4.74390e-06
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29778        0.00370        0.19942        0.00048        0.90836        0.01237     1930.08340       89.39244    1.63929e+02    8.22028e+02    1.33570e-05    4.56298e-06
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.30011        0.00350        0.19592        0.00048        0.90520        0.01356     1865.41198       72.98386    1.39314e+02    7.11072e+02    1.15541e-05    3.93561e-06
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.30148        0.00350        0.19931        0.00048        0.88776        0.01387     1853.26188       67.05726    1.31075e+02    6.57647e+02    1.06860e-05    3.63602e-06
  mc.p5.hnu.280.nodk            280        0.07840        0.28000        0.30338        0.00350        0.20428        0.00048        0.89464        0.01412     1937.98531       60.90874    1.22931e+02    6.01784e+02    9.77831e-06    3.32997e-06
  mc.p5.hnu.285.nodk            285        0.08123        0.28500        0.30565        0.00330        0.20083        0.00048        0.88046        0.01508     1817.75179       53.16318    1.11689e+02    5.56145e+02    9.03673e-06    3.08621e-06
  mc.p5.hnu.290.nodk            290        0.08410        0.29000        0.30851        0.00330        0.20646        0.00049        0.91203        0.01290     1956.90813       50.21861    1.09559e+02    5.30646e+02    8.62240e-06    2.95936e-06
  mc.p5.hnu.295.nodk            295        0.08702        0.29500        0.30936        0.00310        0.20222        0.00048        0.90123        0.01456     1796.09626       42.35728    9.89170e+01    4.89148e+02    7.94810e-06    2.74763e-06
  mc.p5.hnu.300.nodk            300        0.09000        0.30000        0.31214        0.00310        0.20799        0.00049        0.88492        0.01520     1771.84988       41.11337    9.63887e+01    4.63431e+02    7.53022e-06    2.62822e-06
  mc.p5.hnu.305.nodk            305        0.09302        0.30500        0.31450        0.00310        0.21363        0.00049        0.89085        0.01396     1825.99367       37.35492    9.28665e+01    4.34706e+02    7.06348e-06    2.49540e-06
  mc.p5.hnu.310.nodk            310        0.09610        0.31000        0.31761        0.00290        0.21024        0.00049        0.90577        0.01377     1749.38739       33.77138    8.85825e+01    4.21346e+02    6.84640e-06    2.45497e-06
  mc.p5.hnu.315.nodk            315        0.09923        0.31500        0.31929        0.00290        0.21533        0.00049        0.87500        0.01559     1743.62759       37.69180    9.23922e+01    4.29071e+02    6.97192e-06    2.54508e-06
  mc.p5.hnu.320.nodk            320        0.10240        0.32000        0.32249        0.00270        0.21321        0.00049        0.92931        0.01273     1728.85240       28.07152    8.22791e+01    3.85904e+02    6.27051e-06    2.33803e-06
  mc.p5.hnu.325.nodk            325        0.10563        0.32500        0.32464        0.00270        0.21844        0.00050        0.90702        0.01360     1737.51534       27.47413    8.22274e+01    3.76431e+02    6.11658e-06    2.33800e-06
  mc.p5.hnu.330.nodk            330        0.10890        0.33000        0.32662        0.00250        0.21580        0.00049        0.88090        0.01647     1464.10185       28.74811    7.92015e+01    3.67005e+02    5.96342e-06    2.34644e-06
  mc.p5.hnu.335.nodk            335        0.11223        0.33500        0.32777        0.00250        0.22158        0.00050        0.90889        0.01449     1594.42224       26.24375    7.88014e+01    3.55635e+02    5.77866e-06    2.35158e-06
  mc.p5.hnu.340.nodk            340        0.11560        0.34000        0.33028        0.00230        0.21795        0.00049        0.88565        0.01619     1422.57105       26.05026    7.54341e+01    3.46100e+02    5.62374e-06    2.37980e-06
  mc.p5.hnu.345.nodk            345        0.11903        0.34500        0.33213        0.00230        0.22656        0.00050        0.89722        0.01512     1528.68326       25.84225    7.70283e+01    3.39998e+02    5.52458e-06    2.44680e-06
  mc.p5.hnu.350.nodk            350        0.12250        0.35000        0.33555        0.00210        0.22222        0.00050        0.87411        0.01735     1335.00531       26.49901    7.48340e+01    3.36759e+02    5.47196e-06    2.55633e-06
  mc.p5.hnu.355.nodk            355        0.12602        0.35500        0.33080        0.00210        0.22846        0.00050        0.90676        0.01521     1454.00731       24.38346    7.50874e+01    3.28673e+02    5.34056e-06    2.65748e-06
  mc.p5.hnu.360.nodk            360        0.12960        0.36000        0.31085        0.00190        0.21046        0.00049        0.89021        0.01646     1249.78708       23.12878    6.93247e+01    3.29396e+02    5.35231e-06    2.87293e-06
  mc.p5.hnu.365.nodk            365        0.13322        0.36500        0.27823        0.00170        0.18524        0.00047        0.90060        0.01793      978.18606       19.56026    6.11426e+01    3.30070e+02    5.36326e-06    3.15940e-06
  mc.p5.hnu.370.nodk            370        0.13690        0.37000        0.21951        0.00150        0.14498        0.00042        0.93299        0.02056      767.21329       16.90644    5.38237e+01    3.71255e+02    6.03248e-06    3.99978e-06
  mc.p5.hnu.375.nodk            375        0.14062        0.37500        0.13956        0.00130        0.09466        0.00035        0.91398        0.03445      363.28921       13.69344    3.89116e+01    4.11063e+02    6.67931e-06    5.19440e-06
  mc.p5.hnu.380.nodk            380        0.14440        0.38000        0.04640        0.00110        0.03242        0.00021        0.86364        0.09418       78.14708        8.52260    2.05336e+01    6.33325e+02    1.02908e-05    1.01794e-05
  mc.p5.hnu.385.nodk            385        0.14822        0.38500        0.00009        0.00610        0.00006        0.00001        0.90000        0.13851       54.66594        8.49574    1.82238e+01    2.92278e+05    4.74919e-03    7.65845e-03
