             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.28406        0.00410        0.19803        0.00048        0.89824        0.01435      969.50887     1948.58347      144.68397     1867.00000    2.48306e+02    1.25387e+03    2.48306e+02    2.09768e-05    7.30437e-06    8.44796e-08    2.94167e-08    1.51268e+02   -5.39330e-01    4.00130e+02    3.38028e-05    1.17705e-05    1.39149e+02    1.17552e-05    4.09331e-06    5.52960e+02    4.67139e-05    1.62663e-05    8.82063e+01    7.45164e-06    2.59474e-06    7.04781e+02    5.95397e-05    2.07324e-05    6.25377e+01    5.28316e-06    1.83966e-06    1.79922e+02    1.51998e-05    5.29273e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.77435e+03    1.66852e+04    3.79698e+02    9.49244e+01    3.89000e+02    8.21283e+02    1.07459e-01    7.88933e+02
  mc.p5.hnu.251.nodk            251        0.06300        0.25100        0.28447        0.00410        0.19977        0.00048        0.90135        0.01408      944.92816     1967.54269      133.22437     1878.00000    2.30508e+02    1.15388e+03    2.30508e+02    1.93041e-05    6.71022e-06    8.37461e-08    2.91106e-08    1.40415e+02   -6.37702e-01    3.71332e+02    3.10976e-05    1.08097e-05    1.29215e+02    1.08213e-05    3.76154e-06    5.13159e+02    4.29751e-05    1.49384e-05    8.16727e+01    6.83977e-06    2.37754e-06    6.53978e+02    5.47681e-05    1.90377e-05    5.80416e+01    4.86076e-06    1.68963e-06    1.57775e+02    1.32131e-05    4.59294e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.58400e+03    1.35006e+04    3.87122e+02    9.67806e+01    4.41275e+02    8.68038e+02    1.10135e-01    8.70818e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.28640        0.00410        0.20102        0.00048        0.89943        0.01405      940.16387     1962.81100      132.58710     1873.00000    2.29217e+02    1.14028e+03    2.29217e+02    1.90766e-05    6.62003e-06    8.32250e-08    2.88810e-08    1.39793e+02   -6.42456e-01    3.70044e+02    3.07970e-05    1.06873e-05    1.28695e+02    1.07106e-05    3.71683e-06    5.10869e+02    4.25171e-05    1.47544e-05    8.14189e+01    6.77609e-06    2.35146e-06    6.51691e+02    5.42370e-05    1.88215e-05    5.77642e+01    4.80742e-06    1.66829e-06    1.56649e+02    1.30372e-05    4.52420e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.59554e+03    1.34357e+04    3.85263e+02    9.63157e+01    3.94381e+02    8.27009e+02    6.19573e-02    8.45031e+02
  mc.p5.hnu.253.nodk            253        0.06401        0.25300        0.28608        0.00410        0.20133        0.00049        0.90000        0.01398      939.99298     1974.45581      133.56219     1893.00000    2.31162e+02    1.14817e+03    2.31162e+02    1.92086e-05    6.65510e-06    8.30959e-08    2.87898e-08    1.40760e+02   -5.78687e-01    3.72991e+02    3.09940e-05    1.07383e-05    1.29260e+02    1.07410e-05    3.72138e-06    5.13810e+02    4.26955e-05    1.47925e-05    8.18252e+01    6.79933e-06    2.35573e-06    6.55633e+02    5.44804e-05    1.88755e-05    5.82020e+01    4.83635e-06    1.67562e-06    1.63630e+02    1.35970e-05    4.71086e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.59968e+03    1.35956e+04    3.89848e+02    9.74619e+01    4.08089e+02    8.51094e+02    6.19573e-02    8.96999e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.28609        0.00410        0.20185        0.00048        0.90377        0.01375      918.75064     1991.66121      133.66320     1907.00000    2.31216e+02    1.14549e+03    2.31216e+02    1.91637e-05    6.62930e-06    8.28821e-08    2.86714e-08    1.40917e+02   -6.00789e-01    3.73042e+02    3.09185e-05    1.06956e-05    1.29383e+02    1.07235e-05    3.70958e-06    5.14866e+02    4.26732e-05    1.47619e-05    8.19432e+01    6.79162e-06    2.34943e-06    6.56688e+02    5.44276e-05    1.88281e-05    5.81783e+01    4.82193e-06    1.66805e-06    1.61735e+02    1.34049e-05    4.63716e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.53030e+03    1.38336e+04    3.96671e+02    9.91679e+01    3.88115e+02    8.11013e+02    6.37718e-02    8.06913e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.28623        0.00410        0.20241        0.00048        0.90353        0.01365      920.92580     2009.32862      123.03084     1873.00000    2.15159e+02    1.06298e+03    2.15159e+02    1.77834e-05    6.14270e-06    8.26523e-08    2.85496e-08    1.30942e+02   -1.04113e+00    3.46985e+02    2.86791e-05    9.90629e-06    1.20347e+02    9.94697e-06    3.43587e-06    4.78809e+02    3.95746e-05    1.36698e-05    7.61708e+01    6.29569e-06    2.17465e-06    6.10630e+02    5.04699e-05    1.74333e-05    5.40469e+01    4.46710e-06    1.54302e-06    1.17967e+02    9.75024e-06    3.36791e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.44294e+03    1.09400e+04    4.03740e+02    1.00935e+02    4.66084e+02    8.47172e+02    1.54583e-01    9.35584e+02
  mc.p5.hnu.256.nodk            256        0.06554        0.25600        0.28740        0.00410        0.20304        0.00048        0.91532        0.01272      796.10954     2029.95865      120.43082     1871.00000    2.10650e+02    1.03749e+03    2.10650e+02    1.73569e-05    5.98694e-06    8.23968e-08    2.84212e-08    1.28583e+02   -1.23624e+00    3.40477e+02    2.80542e-05    9.67677e-06    1.18176e+02    9.73729e-06    3.35869e-06    4.70303e+02    3.87515e-05    1.33666e-05    7.47066e+01    6.15559e-06    2.12325e-06    5.99120e+02    4.93656e-05    1.70277e-05    5.30956e+01    4.37491e-06    1.50904e-06    1.04931e+02    8.64599e-06    2.98227e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.18196e+03    1.08125e+04    4.12073e+02    1.03018e+02    4.01367e+02    7.86040e+02    2.03435e-01    8.06389e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.28756        0.00410        0.20436        0.00048        0.91575        0.01281      817.21548     2044.14761      120.94275     1879.00000    2.12343e+02    1.03908e+03    2.12343e+02    1.73836e-05    5.98808e-06    8.18654e-08    2.82000e-08    1.29117e+02   -1.27905e+00    3.42169e+02    2.80118e-05    9.64915e-06    1.18837e+02    9.72865e-06    3.35120e-06    4.71992e+02    3.86398e-05    1.33101e-05    7.49943e+01    6.13944e-06    2.11484e-06    6.01811e+02    4.92676e-05    1.69711e-05    5.32484e+01    4.35920e-06    1.50160e-06    1.03182e+02    8.44701e-06    2.90972e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.20543e+03    1.09642e+04    4.17854e+02    1.04463e+02    4.20951e+02    7.51557e+02    1.46216e-01    7.62535e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.28910        0.00410        0.20597        0.00048        0.90926        0.01315      866.49946     2035.86213      121.34277     1887.00000    2.12188e+02    1.03021e+03    2.12188e+02    1.72352e-05    5.92938e-06    8.12261e-08    2.79440e-08    1.29460e+02   -1.14987e+00    3.43017e+02    2.78619e-05    9.58525e-06    1.18973e+02    9.66372e-06    3.32458e-06    4.72837e+02    3.84067e-05    1.32130e-05    7.51883e+01    6.10726e-06    2.10106e-06    6.03661e+02    4.90331e-05    1.68687e-05    5.34302e+01    4.33992e-06    1.49305e-06    1.10304e+02    8.95954e-06    3.08233e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31474e+03    1.08755e+04    4.14473e+02    1.03618e+02    4.12046e+02    8.20933e+02    1.46216e-01    7.82600e+02
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.28826        0.00410        0.20599        0.00048        0.90476        0.01321      898.79382     2053.19131      116.72781     1905.00000    2.05886e+02    9.99509e+02    2.05886e+02    1.67215e-05    5.74570e-06    8.12173e-08    2.79072e-08    1.25214e+02   -1.18350e+00    3.31712e+02    2.69407e-05    9.25713e-06    1.14778e+02    9.32197e-06    3.20313e-06    4.57534e+02    3.71597e-05    1.27685e-05    7.27373e+01    5.90753e-06    2.02989e-06    5.83353e+02    4.73784e-05    1.62797e-05    5.16446e+01    4.19443e-06    1.44125e-06    1.04885e+02    8.51851e-06    2.92705e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.35834e+03    9.38252e+03    4.21559e+02    1.05390e+02    4.77853e+02    9.12894e+02    9.80861e-02    9.66729e+02
