             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.29153        0.00390        0.19368        0.00047        0.89980        0.01444     1824.30752      128.80693     1806.00000    1.15135e+03    5.94459e+03    1.92618e-05    6.70717e-06    2.29986e-05    8.00838e-06    1.58850e-05    5.53132e-06    2.66486e-05    9.27934e-06    1.31827e-05    4.59037e-06    1.77624e-05    6.18506e-06    0.00000e+00    1.46247e+04    8.57631e+02    3.32810e+02    8.35293e+01    6.08736e+01    4.22848e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.29378        0.00390        0.19659        0.00048        0.90909        0.01377     1837.75564      116.44672     1822.00000    1.03491e+03    5.26422e+03    1.73137e-05    6.00827e-06    2.09972e-05    7.28651e-06    1.40254e-05    4.86713e-06    2.46808e-05    8.56481e-06    1.15073e-05    3.99332e-06    1.60804e-05    5.58026e-06    0.00000e+00    1.17782e+04    7.74950e+02    3.37735e+02    8.47653e+01    4.66893e+01    3.70820e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.29308        0.00390        0.19685        0.00048        0.90711        0.01389     1855.97122      105.81133     1807.00000    9.50342e+02    4.82784e+03    1.58990e-05    5.49993e-06    1.96654e-05    6.80285e-06    1.26503e-05    4.37611e-06    2.33465e-05    8.07627e-06    1.01704e-05    3.51824e-06    1.23246e-05    4.26344e-06    0.00000e+00    9.33377e+03    8.08160e+02    3.44463e+02    8.64540e+01    5.07947e+01    3.88199e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.29348        0.00370        0.19095        0.00047        0.91093        0.01383     1773.88391      101.18834     1727.00000    9.40174e+02    4.92361e+03    1.57289e-05    5.43304e-06    1.95245e-05    6.74412e-06    1.24631e-05    4.30498e-06    2.32321e-05    8.02481e-06    9.98349e-06    3.44848e-06    1.21949e-05    4.21236e-06    0.00000e+00    8.52638e+03    7.25401e+02    3.14666e+02    7.89756e+01    4.56946e+01    3.72369e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.29452        0.00370        0.19269        0.00047        0.92308        0.01301     1825.66507      102.10137     1726.00000    9.42059e+02    4.88909e+03    1.57604e-05    5.42894e-06    1.95217e-05    6.72460e-06    1.24485e-05    4.28810e-06    2.32830e-05    8.02025e-06    9.99411e-06    3.44265e-06    9.32353e-06    3.21165e-06    0.00000e+00    8.74571e+03    6.61827e+02    3.33305e+02    8.36537e+01    4.68150e+01    3.72823e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.29610        0.00370        0.19402        0.00047        0.91165        0.01372     1817.75837      102.70059     1695.00000    9.39494e+02    4.84231e+03    1.57175e-05    5.40724e-06    1.94527e-05    6.69225e-06    1.24951e-05    4.29866e-06    2.31882e-05    7.97737e-06    9.98729e-06    3.43590e-06    8.35724e-06    2.87512e-06    0.00000e+00    8.67012e+03    7.48928e+02    3.30425e+02    8.29307e+01    6.10076e+01    4.29720e+02
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.29509        0.00370        0.19373        0.00047        0.90613        0.01372     1823.26844       96.60995     1719.00000    8.96168e+02    4.62580e+03    1.49926e-05    5.15164e-06    1.86481e-05    6.40767e-06    1.17100e-05    4.02367e-06    2.23904e-05    7.69358e-06    9.26327e-06    3.18296e-06    8.44786e-06    2.90278e-06    0.00000e+00    7.39881e+03    7.62656e+02    3.32431e+02    8.34342e+01    6.77197e+01    4.49186e+02
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.29638        0.00370        0.19585        0.00048        0.89961        0.01417     1824.01553       97.29264     1746.00000    8.93064e+02    4.56000e+03    1.49407e-05    5.12793e-06    1.85564e-05    6.36891e-06    1.16858e-05    4.01077e-06    2.22582e-05    7.63942e-06    9.25460e-06    3.17635e-06    9.65149e-06    3.31257e-06    0.00000e+00    7.40487e+03    8.25393e+02    3.32703e+02    8.35026e+01    7.80008e+01    4.77493e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29695        0.00370        0.19677        0.00048        0.89796        0.01397     1833.35145       92.97747     1769.00000    8.54696e+02    4.34362e+03    1.42988e-05    4.90235e-06    1.79843e-05    6.16591e-06    1.10816e-05    3.79933e-06    2.15840e-05    7.40009e-06    8.70873e-06    2.98579e-06    9.82724e-06    3.36927e-06    0.00000e+00    6.62069e+03    8.13082e+02    3.36118e+02    8.43595e+01    7.29297e+01    4.64535e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29719        0.00370        0.19725        0.00048        0.90182        0.01360     1840.10430       92.62041     1775.00000    8.51469e+02    4.31677e+03    1.42449e-05    4.87894e-06    1.79216e-05    6.13824e-06    1.10315e-05    3.77834e-06    2.15127e-05    7.36823e-06    8.66311e-06    2.96716e-06    9.72434e-06    3.33064e-06    0.00000e+00    6.66955e+03    7.69841e+02    3.38598e+02    8.49821e+01    6.29788e+01    4.32296e+02
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29708        0.00370        0.19766        0.00048        0.90357        0.01337     1844.06196       92.74482     1806.00000    8.50999e+02    4.30536e+03    1.42370e-05    4.87168e-06    1.79061e-05    6.12718e-06    1.10290e-05    3.77394e-06    2.14897e-05    7.35343e-06    8.66334e-06    2.96446e-06    1.13560e-05    3.88584e-06    0.00000e+00    6.69827e+03    7.44283e+02    3.40056e+02    8.53481e+01    6.69956e+01    4.41256e+02
  mc.p5.hnu.264.nodk            264        0.06970        0.26400        0.29729        0.00370        0.19751        0.00048        0.89624        0.01379     1837.43571       92.42735     1832.00000    8.47082e+02    4.28881e+03    1.41714e-05    4.84505e-06    1.78433e-05    6.10042e-06    1.09701e-05    3.75056e-06    2.15151e-05    7.35577e-06    8.61290e-06    2.94465e-06    1.37520e-05    4.70163e-06    0.00000e+00    6.60822e+03    7.99543e+02    3.37617e+02    8.47358e+01    6.42445e+01    4.31896e+02
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29778        0.00370        0.19942        0.00048        0.90179        0.01347     1870.00937       93.72759     1886.00000    8.52151e+02    4.27312e+03    1.42563e-05    4.87017e-06    1.78926e-05    6.11239e-06    1.10076e-05    3.76039e-06    2.15288e-05    7.35458e-06    8.66857e-06    2.96132e-06    1.56093e-05    5.33239e-06    0.00000e+00    6.84459e+03    7.80204e+02    3.49694e+02    8.77668e+01    6.45332e+01    4.33526e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29824        0.00370        0.19988        0.00048        0.91241        0.01299     1899.07907       88.55587     1891.00000    8.12697e+02    4.06593e+03    1.35962e-05    4.64132e-06    1.72255e-05    5.88025e-06    1.03763e-05    3.54213e-06    2.09391e-05    7.14796e-06    8.04937e-06    2.74780e-06    1.29379e-05    4.41659e-06    0.00000e+00    5.93419e+03    7.31212e+02    3.60650e+02    9.05167e+01    6.41404e+01    4.33091e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29914        0.00370        0.20065        0.00048        0.91971        0.01253     1912.19404       88.45776     1887.00000    8.08833e+02    4.03108e+03    1.35316e-05    4.61623e-06    1.71469e-05    5.84960e-06    1.03266e-05    3.52287e-06    2.08463e-05    7.11162e-06    8.01095e-06    2.73290e-06    1.15922e-05    3.95461e-06    0.00000e+00    6.01643e+03    6.78184e+02    3.65649e+02    9.17713e+01    5.73469e+01    4.10275e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29923        0.00370        0.20190        0.00048        0.92015        0.01277     1929.09513       81.98064     1876.00000    7.58218e+02    3.75534e+03    1.26848e-05    4.32483e-06    1.63632e-05    5.57897e-06    9.52473e-06    3.24742e-06    1.99578e-05    6.80456e-06    7.29086e-06    2.48580e-06    8.99923e-06    3.06826e-06    0.00000e+00    4.86556e+03    7.17228e+02    3.72141e+02    9.34007e+01    5.73959e+01    4.08326e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29969        0.00350        0.19522        0.00048        0.91129        0.01378     1827.16164       78.88427     1815.00000    7.56169e+02    3.87333e+03    1.26505e-05    4.31095e-06    1.62830e-05    5.54880e-06    9.46369e-06    3.22497e-06    2.00018e-05    6.81607e-06    7.22225e-06    2.46115e-06    1.16557e-05    3.97195e-06    0.00000e+00    4.36495e+03    7.63122e+02    3.33852e+02    8.37909e+01    5.99695e+01    4.08342e+02
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.30011        0.00350        0.19592        0.00048        0.91042        0.01408     1832.55896       79.25139     1777.00000    7.54388e+02    3.85042e+03    1.26207e-05    4.29892e-06    1.63261e-05    5.56106e-06    9.45285e-06    3.21987e-06    2.00315e-05    6.82322e-06    7.22233e-06    2.46010e-06    8.74542e-06    2.97890e-06    0.00000e+00    4.39077e+03    8.03199e+02    3.35827e+02    8.42866e+01    5.90819e+01    4.04491e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29964        0.00350        0.19595        0.00048        0.91411        0.01370     1863.89559       78.29808     1781.00000    7.47027e+02    3.81229e+03    1.24976e-05    4.25542e-06    1.62887e-05    5.54631e-06    9.34189e-06    3.18092e-06    1.99938e-05    6.80789e-06    7.12713e-06    2.42679e-06    7.29979e-06    2.48558e-06    0.00000e+00    4.17737e+03    7.80057e+02    3.47411e+02    8.71939e+01    7.07207e+01    4.36205e+02
