             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.29153        0.00390        0.19368        0.00047        0.89980        0.01444     1824.30752      146.97670     1806.00000    1.29863e+03    6.70501e+03    2.17258e-05    7.56515e-06    2.54600e-05    8.86546e-06    1.83112e-05    6.37615e-06    2.91075e-05    1.01356e-05    1.55019e-05    5.39794e-06    2.02200e-05    7.04082e-06    0.00000e+00    1.46247e+04    8.57631e+02    3.32810e+02    8.35293e+01    6.08736e+01    4.22848e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.29378        0.00390        0.19659        0.00048        0.90909        0.01377     1837.75564      132.51198     1822.00000    1.16186e+03    5.90996e+03    1.94376e-05    6.74529e-06    2.31185e-05    8.02265e-06    1.61094e-05    5.59034e-06    2.67994e-05    9.30002e-06    1.34855e-05    4.67978e-06    1.81995e-05    6.31564e-06    0.00000e+00    1.17782e+04    7.74950e+02    3.37735e+02    8.47653e+01    4.66893e+01    3.70820e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.29308        0.00390        0.19685        0.00048        0.90711        0.01389     1855.97122      124.96750     1807.00000    1.10008e+03    5.58853e+03    1.84041e-05    6.36652e-06    2.21668e-05    7.66816e-06    1.51013e-05    5.22398e-06    2.58442e-05    8.94028e-06    1.24766e-05    4.31602e-06    1.47627e-05    5.10685e-06    0.00000e+00    9.33377e+03    8.08160e+02    3.44463e+02    8.64540e+01    5.07947e+01    3.88199e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.29348        0.00370        0.19095        0.00047        0.91093        0.01383     1773.88391      120.22162     1727.00000    1.09317e+03    5.72481e+03    1.82884e-05    6.31715e-06    2.20801e-05    7.62687e-06    1.49659e-05    5.16950e-06    2.57837e-05    8.90616e-06    1.23345e-05    4.26055e-06    1.46868e-05    5.07310e-06    0.00000e+00    8.52638e+03    7.25401e+02    3.14666e+02    7.89756e+01    4.56946e+01    3.72369e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.29452        0.00370        0.19269        0.00047        0.92308        0.01301     1825.66507      121.48269     1726.00000    1.09636e+03    5.68987e+03    1.83418e-05    6.31815e-06    2.20991e-05    7.61242e-06    1.49717e-05    5.15726e-06    2.58565e-05    8.90672e-06    1.23655e-05    4.25951e-06    1.16311e-05    4.00655e-06    0.00000e+00    8.74571e+03    6.61827e+02    3.33305e+02    8.36537e+01    4.68150e+01    3.72823e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.29610        0.00370        0.19402        0.00047        0.91165        0.01372     1817.75837      126.21458     1695.00000    1.12599e+03    5.80353e+03    1.88375e-05    6.48060e-06    2.25682e-05    7.76406e-06    1.55502e-05    5.34969e-06    2.62990e-05    9.04756e-06    1.28617e-05    4.42477e-06    1.10245e-05    3.79274e-06    0.00000e+00    8.67012e+03    7.48928e+02    3.30425e+02    8.29307e+01    6.10076e+01    4.29720e+02
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.29509        0.00370        0.19373        0.00047        0.90613        0.01372     1823.26844      122.78184     1719.00000    1.10281e+03    5.69246e+03    1.84498e-05    6.33955e-06    2.20998e-05    7.59372e-06    1.50878e-05    5.18434e-06    2.58366e-05    8.87775e-06    1.24263e-05    4.26981e-06    1.14968e-05    3.95043e-06    0.00000e+00    7.39881e+03    7.62656e+02    3.32431e+02    8.34342e+01    6.77197e+01    4.49186e+02
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.29638        0.00370        0.19585        0.00048        0.89961        0.01417     1824.01553      125.69493     1746.00000    1.11534e+03    5.69496e+03    1.86594e-05    6.40425e-06    2.22695e-05    7.64331e-06    1.53224e-05    5.25893e-06    2.59655e-05    8.91185e-06    1.26662e-05    4.34726e-06    1.31127e-05    4.50051e-06    0.00000e+00    7.40487e+03    8.25393e+02    3.32703e+02    8.35026e+01    7.80008e+01    4.77493e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29695        0.00370        0.19677        0.00048        0.89796        0.01397     1833.35145      121.32244     1769.00000    1.07419e+03    5.45909e+03    1.79709e-05    6.16131e-06    2.16503e-05    7.42282e-06    1.46658e-05    5.02817e-06    2.52442e-05    8.65497e-06    1.20565e-05    4.13356e-06    1.33100e-05    4.56332e-06    0.00000e+00    6.62069e+03    8.13082e+02    3.36118e+02    8.43595e+01    7.29297e+01    4.64535e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29719        0.00370        0.19725        0.00048        0.90182        0.01360     1840.10430      117.75196     1775.00000    1.04508e+03    5.29836e+03    1.74840e-05    5.98835e-06    2.11551e-05    7.24574e-06    1.41917e-05    4.86074e-06    2.47409e-05    8.47389e-06    1.16100e-05    3.97650e-06    1.27879e-05    4.37992e-06    0.00000e+00    6.66955e+03    7.69841e+02    3.38598e+02    8.49821e+01    6.29788e+01    4.32296e+02
