             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.250.nodk            250        0.06250        0.25000        0.29153        0.00390        0.19368        0.00047        0.90020        0.01439     1830.97552      128.24052     1829.00000    1.14354e+03    5.90424e+03    1.91075e-05    6.65344e-06    2.28397e-05    7.95303e-06    1.58173e-05    5.50775e-06    2.65721e-05    9.25268e-06    1.31170e-05    4.56748e-06    1.90214e-05    6.62346e-06    0.00000e+00    1.47318e+04    8.56631e+02    3.35247e+02    8.41383e+01    5.85328e+01    3.79232e+02
  mc.p5.hnu.252.nodk            252        0.06350        0.25200        0.29378        0.00390        0.19659        0.00048        0.91051        0.01357     1864.78316      117.45083     1849.00000    1.04356e+03    5.30820e+03    1.74369e-05    6.05100e-06    2.11156e-05    7.32761e-06    1.41500e-05    4.91040e-06    2.48800e-05    8.63395e-06    1.15750e-05    4.01678e-06    1.62049e-05    5.62347e-06    0.00000e+00    1.21272e+04    7.72016e+02    3.47742e+02    8.72741e+01    6.10090e+01    3.99441e+02
  mc.p5.hnu.254.nodk            254        0.06452        0.25400        0.29308        0.00390        0.19685        0.00048        0.90856        0.01369     1878.44801      106.08733     1838.00000    9.55975e+02    4.85646e+03    1.59735e-05    5.52571e-06    1.96497e-05    6.79742e-06    1.27176e-05    4.39941e-06    2.34117e-05    8.09881e-06    1.01792e-05    3.52129e-06    1.29186e-05    4.46891e-06    0.00000e+00    9.56121e+03    8.00953e+02    3.52857e+02    8.85578e+01    5.83679e+01    3.92578e+02
  mc.p5.hnu.255.nodk            255        0.06502        0.25500        0.29348        0.00370        0.19095        0.00047        0.91218        0.01365     1800.60889      101.81447     1754.00000    9.47653e+02    4.96277e+03    1.58344e-05    5.46951e-06    1.96251e-05    6.77889e-06    1.25646e-05    4.34004e-06    2.33280e-05    8.05793e-06    1.00258e-05    3.46310e-06    1.22958e-05    4.24720e-06    0.00000e+00    8.78523e+03    7.25650e+02    3.24219e+02    8.13706e+01    5.81217e+01    3.91593e+02
  mc.p5.hnu.257.nodk            257        0.06605        0.25700        0.29452        0.00370        0.19269        0.00047        0.92430        0.01281     1855.42597      102.87926     1762.00000    9.50581e+02    4.93331e+03    1.58834e-05    5.47130e-06    1.96398e-05    6.76529e-06    1.25675e-05    4.32910e-06    2.33963e-05    8.05926e-06    1.00538e-05    3.46319e-06    9.71076e-06    3.34504e-06    0.00000e+00    9.03317e+03    6.61053e+02    3.44261e+02    8.64004e+01    6.14459e+01    3.97813e+02
  mc.p5.hnu.258.nodk            258        0.06656        0.25800        0.29610        0.00370        0.19402        0.00047        0.91304        0.01352     1835.55416      102.36646     1732.00000    9.38621e+02    4.83781e+03    1.56835e-05    5.39555e-06    1.94143e-05    6.67906e-06    1.23950e-05    4.26423e-06    2.31450e-05    7.96251e-06    9.90615e-06    3.40799e-06    9.11056e-06    3.13428e-06    0.00000e+00    8.84071e+03    7.38528e+02    3.36926e+02    8.45596e+01    6.77223e+01    4.10444e+02
  mc.p5.hnu.259.nodk            259        0.06708        0.25900        0.29509        0.00370        0.19373        0.00047        0.90789        0.01348     1830.95558       95.18032     1758.00000    8.81854e+02    4.55191e+03    1.47350e-05    5.06310e-06    1.84729e-05    6.34749e-06    1.15415e-05    3.96580e-06    2.22110e-05    7.63194e-06    9.10571e-06    3.12882e-06    9.76253e-06    3.35451e-06    0.00000e+00    7.46133e+03    7.38960e+02    3.35240e+02    8.41365e+01    5.73633e+01    3.82264e+02
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.29638        0.00370        0.19585        0.00048        0.90095        0.01399     1833.66744       95.85303     1787.00000    8.79064e+02    4.48851e+03    1.46884e-05    5.04132e-06    1.83859e-05    6.31037e-06    1.14559e-05    3.93187e-06    2.20834e-05    7.57943e-06    9.09995e-06    3.12327e-06    1.12629e-05    3.86565e-06    0.00000e+00    7.48345e+03    8.10799e+02    3.36234e+02    8.43859e+01    6.38898e+01    4.09048e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29695        0.00370        0.19677        0.00048        0.89945        0.01377     1850.05263       92.18070     1812.00000    8.50883e+02    4.32424e+03    1.42175e-05    4.87446e-06    1.78986e-05    6.13654e-06    1.10006e-05    3.77156e-06    2.15797e-05    7.39861e-06    8.63238e-06    2.95961e-06    1.13282e-05    3.88389e-06    0.00000e+00    6.74186e+03    8.02532e+02    3.42269e+02    8.59007e+01    7.65824e+01    4.48133e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29719        0.00370        0.19725        0.00048        0.90323        0.01341     1880.39444       93.55905     1817.00000    8.58732e+02    4.35359e+03    1.43486e-05    4.91448e-06    1.80205e-05    6.17210e-06    1.11410e-05    3.81584e-06    2.17777e-05    7.45896e-06    8.72285e-06    2.98762e-06    9.94340e-06    3.40567e-06    0.00000e+00    6.96482e+03    7.79768e+02    3.53588e+02    8.87415e+01    8.88125e+01    4.77567e+02
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29708        0.00370        0.19766        0.00048        0.90543        0.01312     1876.06535       92.90120     1842.00000    8.53476e+02    4.31789e+03    1.42608e-05    4.87983e-06    1.79252e-05    6.13373e-06    1.09916e-05    3.76115e-06    2.15895e-05    7.38760e-06    8.64338e-06    2.95763e-06    1.16523e-05    3.98723e-06    0.00000e+00    6.93278e+03    7.39363e+02    3.51962e+02    8.83333e+01    7.50634e+01    4.43127e+02
