     mass     pulls
26    276 -1.242747
27    277 -1.446186
28    278 -0.982527
29    279 -1.279154
30    280 -0.806886
31    281 -0.551025
32    282 -0.961250
33    283 -0.546432
34    284 -0.033527
35    285 -0.236532
36    286  0.365534
37    287 -0.272093
38    288 -0.247271
39    289 -0.192154
40    290 -0.020108
41    291 -0.328711
42    292 -0.471189
43    293 -1.097361
44    294 -0.778705
45    295 -0.483195
46    296 -0.976782
47    297 -1.218957
48    298 -0.765865
49    299 -0.488304
50    300 -0.256018
51    301 -0.707976
52    302 -0.446873
53    303 -0.163671
54    304 -0.348025
55    305 -0.026937
56    306  0.185345
57    307  0.066733
58    308  0.406722
59    309 -0.380392
60    310 -0.985416
61    311 -0.893184
62    312 -0.203104
63    313 -0.460392
64    314  0.100603
65    315  1.154883
66    316  1.206548
67    317  0.485422
68    318  0.319424
69    319 -0.253951
70    320 -1.676973
71    321 -1.520516
72    322 -1.535346
73    323 -0.759334
74    324 -0.989405
75    325 -0.279567
76    326 -0.730100
77    327 -0.600116
78    328 -0.658183
79    329 -0.557865
80    330 -0.241122
81    331 -0.178621
82    332 -0.436190
83    333  0.124282
84    334 -0.413483
85    335 -0.295993
86    336  0.074100
87    337  0.720897
88    338  0.250566
89    339  0.262131
90    340  0.504712
91    341  0.633549
92    342  0.726473
93    343  0.751930
94    344  0.402303
95    345 -0.276640
96    346 -0.136494
97    347  0.155334
98    348  0.470378
99    349  0.627919
100   350  1.238362
101   351  1.135992
102   352  1.321828
103   353  0.677276
104   354  0.263662
105   355  0.412466
106   356  1.190629
107   357  2.243840
108   358  1.694512
109   359  0.963599
110   360  0.163266
111   361 -0.090886
112   362 -0.161577
113   363  0.815267
114   364  0.431257
115   365  1.055505
116   366  0.677814
117   367  0.585522
118   368 -0.182944
119   369 -0.238811
120   370 -0.738356
121   371 -0.333196
122   372  0.595109
123   373  0.507516
124   374 -0.177026
125   375 -0.747113
