     mass     pulls
26    276 -1.242795
27    277 -1.446241
28    278 -0.982585
29    279 -1.279281
30    280 -0.807110
31    281 -0.551279
32    282 -0.962098
33    283 -0.547254
34    284 -0.033610
35    285 -0.237493
36    286  0.367739
37    287 -0.273921
38    288 -0.249408
39    289 -0.194259
40    290 -0.020372
41    291 -0.334331
42    292 -0.480542
43    293 -1.119913
44    294 -0.798961
45    295 -0.499634
46    296 -1.013924
47    297 -1.264899
48    298 -0.797460
49    299 -0.513058
50    300 -0.270368
51    301 -0.746800
52    302 -0.474124
53    303 -0.174050
54    304 -0.370244
55    305 -0.028586
56    306  0.197027
57    307  0.071142
58    308  0.434581
59    309 -0.408494
60    310 -1.055119
61    311 -0.956583
62    312 -0.216719
63    313 -0.492598
64    314  0.107617
65    315  1.236404
66    316  1.311843
67    317  0.528405
68    318  0.347180
69    319 -0.277776
70    320 -1.848364
71    321 -1.671145
72    322 -1.714425
73    323 -0.852879
74    324 -1.106677
75    325 -0.311012
76    326 -0.816551
77    327 -0.663960
78    328 -0.720854
79    329 -0.612799
80    330 -0.267112
81    331 -0.200175
82    332 -0.489097
83    333  0.141324
84    334 -0.468583
85    335 -0.333584
86    336  0.084291
87    337  0.820439
88    338  0.285928
89    339  0.298426
90    340  0.579079
91    341  0.728759
92    342  0.853039
93    343  0.905271
94    344  0.494160
95    345 -0.331710
96    346 -0.162214
97    347  0.184956
98    348  0.587102
99    349  0.793047
100   350  1.625473
101   351  1.478681
102   352  1.728414
103   353  0.888067
104   354  0.344332
105   355  0.559801
106   356  1.728515
107   357  2.855529
108   358  2.530641
109   359  1.499302
110   360  0.246346
111   361 -0.129705
112   362 -0.230977
113   363  1.222263
114   364  0.677553
115   365  1.674235
116   366  1.065134
117   367  0.978228
118   368 -0.285229
119   369 -0.361796
120   370 -1.063009
121   371 -0.463259
122   372  0.900507
123   373  0.774885
124   374 -0.235793
125   375 -0.883620
