     mass     pulls
26    276 -1.230282
27    277 -1.431640
28    278 -0.971463
29    279 -1.264508
30    280 -0.796151
31    281 -0.543921
32    282 -0.948064
33    283 -0.539356
34    284 -0.033117
35    285 -0.234014
36    286  0.361997
37    287 -0.269885
38    288 -0.245548
39    289 -0.191069
40    290 -0.020024
41    291 -0.328083
42    292 -0.471407
43    293 -1.099011
44    294 -0.783205
45    295 -0.489320
46    296 -0.994670
47    297 -1.241883
48    298 -0.782774
49    299 -0.502834
50    300 -0.264804
51    301 -0.730618
52    302 -0.462579
53    303 -0.169576
54    304 -0.361105
55    305 -0.027897
56    306  0.192013
57    307  0.069452
58    308  0.424581
59    309 -0.399546
60    310 -1.032359
61    311 -0.935775
62    312 -0.212027
63    313 -0.481593
64    314  0.105108
65    315  1.208619
66    316  1.281003
67    317  0.516380
68    318  0.339848
69    319 -0.272049
70    320 -1.807945
71    321 -1.635943
72    322 -1.674758
73    323 -0.831744
74    324 -1.079101
75    325 -0.303143
76    326 -0.794587
77    327 -0.648955
78    328 -0.706359
79    329 -0.600328
80    330 -0.261679
81    331 -0.195715
82    332 -0.477961
83    333  0.137982
84    334 -0.458459
85    335 -0.326899
86    336  0.082511
87    337  0.803806
88    338  0.280049
89    339  0.291920
90    340  0.567075
91    341  0.714886
92    342  0.835902
93    343  0.886342
94    344  0.483454
95    345 -0.325547
96    346 -0.159516
97    347  0.182222
98    348  0.577146
99    349  0.780341
100   350  1.595205
101   351  1.453815
102   352  1.699178
103   353  0.874945
104   354  0.339962
105   355  0.552893
106   356  1.704309
107   357  2.814885
108   358  2.496020
109   359  1.482277
110   360  0.244150
111   361 -0.128826
112   362 -0.229513
113   363  1.214187
114   364  0.672965
115   365  1.663636
116   366  1.059934
117   367  0.973678
118   368 -0.284243
119   369 -0.360492
120   370 -1.059821
121   371 -0.462116
122   372  0.897959
123   373  0.772772
124   374 -0.235434
125   375 -0.882812
