     mass     pulls
26    276 -1.242795
27    277 -1.446241
28    278 -0.982576
29    279 -1.279268
30    280 -0.807092
31    281 -0.551259
32    282 -0.962029
33    283 -0.547187
34    284 -0.033604
35    285 -0.237415
36    286  0.367560
37    287 -0.273772
38    288 -0.249234
39    289 -0.194086
40    290 -0.020351
41    291 -0.333866
42    292 -0.479765
43    293 -1.118038
44    294 -0.797264
45    295 -0.498243
46    296 -1.010765
47    297 -1.260994
48    298 -0.794761
49    299 -0.510917
50    300 -0.269118
51    301 -0.743423
52    302 -0.471735
53    303 -0.173137
54    304 -0.368289
55    305 -0.028441
56    306  0.196000
57    307  0.070753
58    308  0.432114
59    309 -0.405989
60    310 -1.048930
61    311 -0.950953
62    312 -0.215516
63    313 -0.489742
64    314  0.106995
65    315  1.229168
66    316  1.302297
67    317  0.524502
68    318  0.344665
69    319 -0.275598
70    320 -1.832528
71    321 -1.657281
72    322 -1.697579
73    323 -0.844007
74    324 -1.095620
75    325 -0.308070
76    326 -0.808402
77    327 -0.658031
78    328 -0.715116
79    329 -0.607748
80    330 -0.264695
81    331 -0.198138
82    332 -0.484093
83    333  0.139680
84    334 -0.463294
85    335 -0.330003
86    336  0.083308
87    337  0.810832
88    338  0.282503
89    339  0.294921
90    340  0.571822
91    341  0.719437
92    342  0.840290
93    343  0.889289
94    344  0.484316
95    345 -0.325999
96    346 -0.159580
97    347  0.181916
98    348  0.574323
99    349  0.774676
100   350  1.580058
101   351  1.438960
102   352  1.680990
103   353  0.863376
104   354  0.334931
105   355  0.541701
106   356  1.656149
107   357  3.244802
108   358  2.514753
109   359  1.420301
110   360  0.234579
111   361 -0.124614
112   362 -0.221856
113   363  1.165354
114   364  0.640740
115   365  1.580599
116   366  1.007245
117   367  0.914789
118   368 -0.270147
119   369 -0.344288
120   370 -1.019784
121   371 -0.446797
122   372  0.857245
123   373  0.736427
124   374 -0.228773
125   375 -0.869759
