     mass     pulls
26    276 -1.130300
27    277 -1.256570
28    278 -1.116493
29    279 -1.250950
30    280 -0.906535
31    281 -0.871849
32    282 -0.981297
33    283 -0.857337
34    284 -0.515771
35    285 -0.637551
36    286 -0.328424
37    287 -0.568825
38    288 -0.411778
39    289 -0.154634
40    290  0.222180
41    291  0.108285
42    292 -0.017472
43    293 -0.583582
44    294 -0.654698
45    295 -0.517684
46    296 -1.044090
47    297 -1.317087
48    298 -1.131261
49    299 -0.757891
50    300 -0.627425
51    301 -0.740324
52    302 -0.656396
53    303 -0.326834
54    304 -0.588237
55    305 -0.411005
56    306 -0.134857
57    307 -0.298410
58    308 -0.145444
59    309 -0.717154
60    310 -0.891836
61    311 -0.699516
62    312 -0.400825
63    313 -0.412595
64    314 -0.187111
65    315  0.501985
66    316  0.739249
67    317  0.339486
68    318  0.125616
69    319 -0.005173
70    320 -0.859215
71    321 -0.839053
72    322 -0.612882
73    323  0.182317
74    324 -0.254178
75    325  0.040654
76    326 -0.265986
77    327 -0.591489
78    328 -1.099988
79    329 -0.905256
80    330 -0.616065
81    331 -0.411379
82    332 -0.418136
83    333  0.193509
84    334 -0.174270
85    335 -0.058837
86    336  0.059031
87    337  0.340814
88    338 -0.273174
89    339 -0.302963
90    340  0.010347
91    341 -0.054202
92    342  0.168168
93    343  0.171083
94    344  0.110093
95    345 -0.330492
96    346 -0.307624
97    347 -0.313794
98    348  0.016636
99    349  0.184739
100   350  1.278714
101   351  0.819979
102   352  1.076644
103   353  0.693153
104   354  0.452102
105   355  0.816546
106   356  1.747364
107   357  2.356842
108   358  2.316731
109   359  1.319131
110   360  0.368566
111   361 -0.366626
112   362 -0.414969
113   363  0.865051
114   364  0.866010
115   365  1.810049
116   366  1.289559
117   367  0.926911
118   368 -0.265670
119   369 -0.038688
120   370 -0.455394
121   371 -0.313635
122   372  1.041644
123   373  1.139762
124   374 -0.011364
125   375 -0.745288
